attribute	chinese_label	in_Attribute_txt	in_Buff_tab	in_engine_enum	GeneratedBase	GeneratedMagic	PreviewBase	PreviewMagic	HorseBase	HorseMagic	buff_ui_context	buff_tab_refs
atAssistVenationCof			Y	Y								6
atBanSkillMove			Y	Y								1
atBaseVenationCof			Y	Y								7
atBeImmunisedStealthEnable			Y	Y								8
atBeatBackRate			Y	Y								90
atBlockLongRange			Y	Y								9
atBuffFunctionDecay			Y	Y								114
atCallAdaptiveDamage			Y	Y							每3秒受到	30
atCallBuff			Y	Y								683
atCallBuffStack8			Y	Y								2
atCallKnockedDown			Y	Y								13
atCallKnockedOffParabola			Y	Y								2
atCallLunarDamage			Y	Y							每3秒受到阴性内功伤害	1381
atCallNeutralDamage			Y	Y							每3秒受到	334
atCallPhysicsDamage			Y	Y							不止，每3秒受到外功伤害	1966
atCallPoisonDamage			Y	Y							中毒，每3秒受到毒伤害	1428
atCallSolarDamage			Y	Y							每2秒受到阳性内功伤害	876
atCallSubBuff			Y	Y								505
atCallTherapy			Y	Y							疗伤成效提高	973
atCastSkill			Y	Y								237
atCastSkillNoTarget			Y	Y								17
atCastSkillTargetDst			Y	Y								443
atCastSkillTargetSrc			Y	Y								50
atChangeCaptionIconType			Y	Y								3
atChangeCaptionRightIconType			Y	Y								1
atChangeForceFightState			Y	Y								2
atChangePoseState			Y	Y								32
atChangeSkillIcon			Y	Y								52
atClearCoolDown			Y	Y								108
atControlTransToSlow			Y	Y								2
atCopyDamage			Y	Y								1
atCopyDamageForSrc			Y	Y							基于受到效果来源伤害的	6
atCopyEffectiveTherapy			Y	Y								11
atCounterStealth			Y	Y								28
atCounterStealthRange			Y	Y								28
atCurrentMoonEnergy			Y	Y								3
atCurrentRage			Y	Y								1
atCurrentSunEnergy			Y	Y								3
atDamageAbsorbShieldCoefficient			Y	Y								11
atDamageFeedbackPercent			Y	Y								2
atDamagePercentForSrc			Y	Y							添加该效果的目标伤害降低	12
atDamageToLifeCof			Y	Y								4
atDamageToSprintPowerForDst			Y	Y								11
atDamageToTherapy			Y	Y								5
atDashBlock			Y	Y								3
atDecayAllTypeResistPercent			Y	Y								4
atDecriticalDamagePowerBaseKiloNumRate			Y	Y								11
atDeflect			Y	Y								1
atDelSingleBuffByIDAndLevel			Y	Y								21
atDelSingleGroupBuffByIDAndLevel			Y	Y								4
atDirectCastMask			Y	Y								117
atDisableAcquirePKTitlePoint			Y	Y								2
atDisableAcquireTitlePoint			Y	Y								1
atDisableAutoSelect			Y	Y								14
atDisableMoveCtrl			Y	Y								843
atDisableRevive			Y	Y								45
atDisableSelectTarget			Y	Y								2
atDisableSpoof			Y	Y								17
atDisableSprintFlag			Y	Y								1180
atDisableSprintPowerCost			Y	Y								29
atDisableTalentSet			Y	Y								9
atDisableTeamwork			Y	Y								11
atDisableVauleBySelfMaxLife			Y	Y								2
atDisarm			Y	Y								156
atDivingFramePercent			Y	Y								21
atDodgeBaseRate			Y	Y								159
atDriftFlag			Y	Y								19
atDstNpcDamageCoefficient			Y	Y								89
atEmployerCastSkillTargetDest			Y	Y								7
atEmployerCastSkillTargetSelf			Y	Y								210
atEnableDecriticalDamagePowerConvert			Y	Y								1
atEnergyReplenish			Y	Y							每秒恢复	9
atEntrap			Y	Y								482
atEqualDivisionDamage			Y	Y								2
atEqualDivisionTeamDamage			Y	Y								4
atEqualDivisionTeamTherapy			Y	Y								3
atEqualDivisionTherapy			Y	Y								2
atExcessLifeChangeDiscount			Y	Y								3
atExecuteScript			Y	Y								13451
atExecuteScriptWithParam			Y	Y								94
atFear			Y	Y								19
atFinalMaxLifeAddPercent			Y	Y							最大气血值提高	380
atFixedDamageReduceValue			Y	Y								4
atFlyFlag			Y	Y								17
atFormationEffect			Y	Y								179
atFreeze			Y	Y								695
atFullAnglePlayer			Y	Y								1
atGamePlayDamageFinalCof			Y	Y								54
atGamePlayTherapyFinalCof			Y	Y								39
atGlobalBlock			Y	Y								272
atGlobalDamageAbsorb			Y	Y							躲在硬壳中，化解	749
atGlobalDamageAbsorbBySelfAgility			Y	Y								39
atGlobalDamageAbsorbBySelfMaxLife			Y	Y								221
atGlobalDamageAbsorbBySelfSpirit			Y	Y								47
atGlobalDamageAbsorbBySelfVitality			Y	Y								1
atGlobalDamageFactor			Y	Y								122
atGlobalDamageManaShield			Y	Y								2
atGlobalTherapyAbsorb			Y	Y							吸收	231
atGlobalTherapyAbsorbBySelfMaxLife			Y	Y								31
atGravityBase			Y	Y							重力增加	225
atGravityPercent			Y	Y								56
atHalt			Y	Y								1405
atHasteBasePercentAdd			Y	Y								58
atHeight			Y	Y								9
atHoldHorse			Y	Y								1
atHorseJumpSpeedAdditional			Y	Y								3
atHorseRunType			Y	Y								1
atIgnoreGravity			Y	Y								91
atIgnoreOtherAlarmRange			Y	Y								54
atImmortal			Y	Y								161
atImmuneSkillMove			Y	Y								574
atImmuniseStealthCircleActive			Y	Y								1
atImmunity			Y	Y								2800
atImmunityBeatBreak			Y	Y								104
atImmunityCastID			Y	Y								4
atImmunityCombo			Y	Y								30
atImmunityComboAll			Y	Y								20
atImmunityComboExceptPullPush			Y	Y								7
atInvalidPassiveSkill			Y	Y								62
atIsolated			Y	Y								10
atJumpSpeedBase			Y	Y							起跳高度提高	230
atJumpSpeedPercent			Y	Y								20
atKnockDownTimeRate			Y	Y								8
atKnockedBackRate			Y	Y								412
atKnockedDownRate			Y	Y								556
atKnockedOffRate			Y	Y								182
atLifeReplenish			Y	Y							e>点，生命回复每秒提高	79
atLockTransTherapy			Y	Y								3
atLockedFace			Y	Y								34
atLunarAttackPowerPercent			Y	Y							所有基础攻击力提高	216
atLunarAttackPowerToTherapyPowerCof			Y	Y								3
atLunarCriticalDamagePowerBaseKiloNumRate			Y	Y								12
atLunarDamageAbsorb			Y	Y							化解阴性内功伤害	91
atLunarDamageCoefficient			Y	Y								1127
atLunarDamageManaShield			Y	Y								6
atLunarHitBaseRate			Y	Y								58
atLunarMagicBlock			Y	Y								12
atLunarMagicReflection			Y	Y							反弹点数提高	15
atLunarMagicReflectionPercent			Y	Y								222
atLunarMagicResistPercent			Y	Y							受到阴性伤害降低	145
atLunarMagicShieldPercent			Y	Y								110
atLunarOvercomePercent			Y	Y								82
atMagicAttackPowerPercent			Y	Y							永久提升自身内功攻击	499
atMagicCriticalDamagePowerBaseKiloNumRate			Y	Y							每层使内功会心效果提高	98
atMagicDamageAbsorb			Y	Y								1
atMagicHitBaseRate			Y	Y								14
atMagicVenationCof			Y	Y								7
atManaReplenish			Y	Y							e>点，内力回复每秒提高	29
atMarkedBustupByGuard			Y	Y								1
atMaxAccumulateValue			Y	Y								1
atMaxDamageToLifeValue			Y	Y								3
atMaxEnergy			Y	Y								2
atMaxFollowVelocity			Y	Y								2
atMaxJumpCount			Y	Y								1215
atMaxLifeToAttackPowerCof			Y	Y								4
atMaxRage			Y	Y							剑气最大值提高	28
atMaxRunSpeed			Y	Y								80
atMaxSkillRadiusAdd			Y	Y								26
atMaxSkillRadiusPercent			Y	Y								14
atMaxTrainValue			Y	Y								62
atMazeCast			Y	Y								4
atMeleeWeaponAttackSpeedPercentAdd			Y	Y								12
atMeleeWeaponDamagePercent			Y	Y								99
atMeleeWeaponDamageRandPercent			Y	Y								26
atMinRunSpeed			Y	Y								12
atMirrorShield			Y	Y								4
atModifyCoolDown			Y	Y								12
atModifyCostEnergyPercent			Y	Y								26
atModifyCostRagePercent			Y	Y								23
atModifyCostSunEnergyPercent			Y	Y								8
atModifyDivingCount			Y	Y								8
atModifyReflectionPercent			Y	Y								2
atModifySkillMoveVelocityXY			Y	Y								1
atMoonEnergyAddPercent			Y	Y								6
atMountingRate			Y	Y								31
atNegativeShield			Y	Y								483
atNeutralAttackPowerPercent			Y	Y								201
atNeutralAttackPowerToTherapyPowerCof			Y	Y								6
atNeutralCriticalDamagePowerBaseKiloNumRate			Y	Y								6
atNeutralDamageAbsorb			Y	Y							化解混元性内功伤害	70
atNeutralDamageCoefficient			Y	Y							受到伤害增加	1030
atNeutralHitBaseRate			Y	Y								58
atNeutralMagicBlock			Y	Y								8
atNeutralMagicReflection			Y	Y								13
atNeutralMagicReflectionPercent			Y	Y								223
atNeutralMagicResistPercent			Y	Y							受到混元性伤害降低	134
atNeutralMagicShieldPercent			Y	Y								109
atNoLimitChangeSkillIcon			Y	Y								1030
atNotIgnore			Y	Y								11
atNotifyBuffSrc			Y	Y								1
atOnParachuteFlag			Y	Y								18
atOtherAlarmRangeRevise			Y	Y								1
atParryBaseRate			Y	Y								17
atParryValueToMagicShieldCof			Y	Y								1
atPauseCDTimer			Y	Y								6
atPhysicsAttackPowerPercent			Y	Y							外功基础攻击力提高	714
atPhysicsBlock			Y	Y								13
atPhysicsCriticalDamagePowerBaseKiloNumRate			Y	Y								128
atPhysicsCriticalStrikeBaseRate			Y	Y							外功会心等级提高	335
atPhysicsDamageAbsorb			Y	Y							化解外功伤害	103
atPhysicsDamageCoefficient			Y	Y								1262
atPhysicsDamageManaShield			Y	Y							增加自身	13
atPhysicsHitBaseRate			Y	Y								77
atPhysicsOvercomePercent			Y	Y								129
atPhysicsReflection			Y	Y							ase>点，外功反弹提高	20
atPhysicsReflectionPercent			Y	Y								214
atPhysicsResistPercent			Y	Y							受外功伤害降低	107
atPhysicsVenationCof			Y	Y								7
atPoisonAttackPowerPercent			Y	Y							内功基础攻击力提高	201
atPoisonAttackPowerToTherapyPowerCof			Y	Y								2
atPoisonCriticalDamagePowerBaseKiloNumRate			Y	Y								3
atPoisonDamageAbsorb			Y	Y							化解毒性伤害	76
atPoisonDamageCoefficient			Y	Y							每层使受到的伤害提高	1032
atPoisonDamageManaShield			Y	Y								5
atPoisonHitBaseRate			Y	Y								58
atPoisonMagicBlock			Y	Y								12
atPoisonMagicReflection			Y	Y							提高15%，反弹远程伤害	16
atPoisonMagicReflectionPercent			Y	Y								258
atPoisonMagicResistPercent			Y	Y							受到毒性伤害降低	135
atPoisonMagicShieldPercent			Y	Y								106
atPoisonOvercomePercent			Y	Y								86
atPositiveShield			Y	Y								66
atPreDieExecuteScript			Y	Y								15
atPrinkForce			Y	Y								87
atPrinkModel			Y	Y								429
atPullRate			Y	Y								550
atQiEnergyReplenish			Y	Y								1
atQiEnergyReplenishPercent			Y	Y								10
atRangeAngleShield			Y	Y								5
atRangeWeaponDamagePercent			Y	Y								38
atRangeWeaponDamageRandPercent			Y	Y								18
atRecoveryShield			Y	Y								3
atReduceAOEDamagePercent			Y	Y								22
atReduceDamageWhenLifeChanged			Y	Y								2
atReduceDamageWhenLifeLow			Y	Y								1
atRepulsedRate			Y	Y								454
atResetCoolDown			Y	Y								1
atResistCriticalStrikeRate			Y	Y								9
atRideHorse			Y	Y								151
atRunSpeedBase			Y	Y							跑步速度提高	81
atSelfAlarmRangeRevise			Y	Y								3
atSense			Y	Y								4
atSetAdaptiveSkillType			Y	Y								6
atSetDisableSkillCastOnEntrapFlag			Y	Y								3
atSetDisableTitlePointProduceFlag			Y	Y								2
atSetEquipmentRecipe			Y	Y								6
atSetHitReduceRate			Y	Y								31
atSetImmuniseStealthCircle			Y	Y								1
atSetIncomeLimitFlag			Y	Y								1
atSetJumpCount			Y	Y								1
atSetPlayerUncontrollable			Y	Y								118
atSetRelationAllEnemyExceptTeam			Y	Y								6
atSetSaleLimitFlag			Y	Y								1
atSetSelectableType			Y	Y								70
atSetTalentRecipe			Y	Y								1426
atShieldTransfer			Y	Y								2
atSilence			Y	Y								1553
atSilenceAll			Y	Y								1376
atSit			Y	Y								1
atSkillDamageFinalCof			Y	Y								8
atSkillEventHandler			Y	Y								2100
atSkillMagicDamage			Y	Y							内功招式伤害降低	43
atSkillMove			Y	Y								81
atSkillTherapy			Y	Y								2
atSkillTherapyPercent			Y	Y								26
atSolarAttackPowerPercent			Y	Y								184
atSolarCriticalDamagePowerBaseKiloNumRate			Y	Y								6
atSolarDamageAbsorb			Y	Y							化解阳性内功伤害	69
atSolarDamageCoefficient			Y	Y							受到伤害提升	1124
atSolarDamageManaShield			Y	Y								1
atSolarHitBaseRate			Y	Y								58
atSolarMagicBlock			Y	Y								8
atSolarMagicReflection			Y	Y								16
atSolarMagicReflectionPercent			Y	Y								221
atSolarMagicResistPercent			Y	Y							受到阳性伤害降低	136
atSolarMagicShieldPercent			Y	Y								110
atSolarOvercomePercent			Y	Y								95
atSpecialSkillMove			Y	Y								8
atSpoof			Y	Y								1
atSprintPowerAddPercent			Y	Y								4
atStealth			Y	Y								193
atStop			Y	Y								9
atStopXYZ			Y	Y								3
atStrainRate			Y	Y								53
atSunEnergyAddPercent			Y	Y								6
atSurplusValueAddPercent			Y	Y							破招提高	12
atTherapyPVXAllRound			Y	Y								1
atTherapyPowerPercent			Y	Y								106
atTherapyPowerToMagicAttackPowerCof			Y	Y								9
atTherapyPowerToPhysicsAttackPowerCof			Y	Y								1
atTopThreat			Y	Y								78
atToughnessBaseRate			Y	Y								35
atTransferDamage			Y	Y								50
atTransferLife			Y	Y								8
atTransferMana			Y	Y								1
atTransferTherapy			Y	Y								4
atTransferThreat			Y	Y								3
atTransform			Y	Y								3
atTransmission			Y	Y								175
atUnarm			Y	Y								10
atUnlimitCriticalDamagePowerKiloNumRate			Y	Y								29
atUnlimitHasteBasePercentAdd			Y	Y								87
atValidBlockRange			Y	Y								3
atValidDamageRange			Y	Y								9
atVitalityToLunarAttackPowerCof			Y	Y								10
atVitalityToMagicCriticalStrikeCof			Y	Y								4
atVitalityToMagicOverComeCof			Y	Y								16
atVitalityToParryValueCof			Y	Y								23
atVitalityToPhysicsAttackPowerCof			Y	Y								18
atVitalityToPhysicsOverComeCof			Y	Y								18
atVitalityToSolarAttackPowerCof			Y	Y								21
atWalkMoveOnly			Y	Y								1
atWaterFloat			Y	Y								33
atWaterFlyAbility			Y	Y								13
atOnTowerFlag				Y								0
atHorseAttribute				Y								0
atCanNotJump				Y								0
atTransmitTrain				Y								0
atLifeReplenishCoefficient				Y								0
atManaPercentAdd				Y								0
atManaReplenishCoefficient				Y								0
atDisbleScriptSetEnergy				Y								0
atCurrentEnergy				Y								0
atSunPowerValue				Y								0
atMoonPowerValue				Y								0
atMaxSunEnergy				Y								0
atSunEnergyReplenish				Y								0
atSunEnergyFallOff				Y								0
atStopMakeSunPower				Y								0
atMaxMoonEnergy				Y								0
atMoonEnergyReplenish				Y								0
atMoonEnergyFallOff				Y								0
atStopMakeMoonPower				Y								0
atNaturePowerValue				Y								0
atNaturePowerMaxGrid				Y								0
atMaxQiEnergy				Y								0
atCurrentQiEnergy				Y								0
atMaxQiControlCount				Y								0
atCurrentQiControlCount				Y								0
atStopMakeQiControlCancel				Y								0
atCurrentQiSPByScript				Y								0
atMaxPosture				Y								0
atCurrentPosture				Y								0
atPostureReplenish				Y								0
atMaxStamina				Y								0
atCurrentThew				Y								0
atMaxThew				Y								0
atPassiveThreatCoefficient				Y								0
atMaxDamageToManaValue				Y								0
atMeleeWeaponDamageRand				Y								0
atRangeWeaponDamageRand				Y								0
atSkillPhysicsDamageRand				Y								0
atPhysicsDefenceMax				Y								0
atSkillSolarDamageRand				Y								0
atSkillNeutralDamageRand				Y								0
atNeutralDamageManaShield				Y								0
atSkillLunarDamageRand				Y								0
atSkillPoisonDamageRand				Y								0
atSkillTherapyRand				Y								0
atOverflowTherapyIntelligentTransfer				Y								0
atSkillAdaptiveDamage				Y								0
atSkillAdaptiveDamageRand				Y								0
atNoneWeaponAttackSpeedBase				Y								0
atRangeWeaponAttackSpeedPercentAdd				Y								0
atRangeWeaponAttackSpeedAdditional				Y								0
atDash				Y								0
atDashToPoint				Y								0
atDashForward				Y								0
atDashBackward				Y								0
atDashLeft				Y								0
atDashRight				Y								0
atDashToDstBack				Y								0
atCatchPlayer				Y								0
atRevive				Y								0
atCallKnockedBackExhale				Y								0
atCallKnockedBackConvergence				Y								0
atCallKnockedBackRandom				Y								0
atCallKnockedBackSrcFace				Y								0
atCallAddKnockedDownFrame				Y								0
atCallRepulsed				Y								0
atCallSurplusPhysicsDamage				Y								0
atCallSurplusSolarDamage				Y								0
atCallSurplusNeutralDamage				Y								0
atCallSurplusLunarDamage				Y								0
atCallSurplusPoisonDamage				Y								0
atCallRechargeableAbsorbShieldByTherapy				Y								0
atSetNextBuffCount				Y								0
atCallBuffStack2				Y								0
atCallBuffStack3				Y								0
atCallBuffStack4				Y								0
atCallBuffStack5				Y								0
atCallBuffStack6				Y								0
atCallBuffStack7				Y								0
atCallBuffAccordingToAttraction				Y								0
atDetachSingleBuff				Y								0
atDetachMultiGroupBuff				Y								0
atDelSingleBuffByFunctionType				Y								0
atDelMultiGroupBuffByFunctionType				Y								0
atDelMultiGroupBuffByID				Y								0
atModifyThreat				Y								0
atModifyAllThreaten				Y								0
atModifyThreatPercent				Y								0
atModifyAllThreatenPercent				Y								0
atAddWeak				Y								0
atModifySkillCastFlag				Y								0
atExecuteScriptSetup				Y								0
atExecuteScriptBulletToSelf				Y								0
atExecuteScriptBulletToDestAndRollback				Y								0
atExecuteScriptBulletToDest				Y								0
atPrinkRepresentID				Y								0
atDoAction				Y								0
atAddExpPercentByScript				Y								0
atAddCoolDownInterval				Y								0
atTransferDamageToManaPercent				Y								0
atPull				Y								0
atPullZ				Y								0
atTurnToSrc				Y								0
atConsumeBuff				Y								0
atZeroThreat				Y								0
atTurnToSkillTarget				Y								0
atBanTransferTherapy				Y								0
atCallHelp				Y								0
atCallRequest				Y								0
atCatchCharacter				Y								0
atVitalityToMaxLifeCof				Y								0
atVitalityToNeutralAttackPowerCof				Y								0
atVitalityToPoisonAttackPowerCof				Y								0
atVitalityToTherapyPowerCof				Y								0
atVitalityToPhysicsShieldCof				Y								0
atVitalityToDodgeCof				Y								0
atVitalityToParryCof				Y								0
atVitalityToMagicShieldCof				Y								0
atVitalityToMaxManaCof				Y								0
atSpiritToMaxManaCof				Y								0
atSpiritToManaReplenishCof				Y								0
atSpiritToTherapyPowerCof				Y								0
atSpiritToPhysicsAttackPowerCof				Y								0
atSpiritToSolarAttackPowerCof				Y								0
atSpiritToLunarAttackPowerCof				Y								0
atSpiritToNeutralAttackPowerCof				Y								0
atSpiritToPoisonAttackPowerCof				Y								0
atSpiritToPhysicsCriticalStrikeCof				Y								0
atSpiritToSolarCriticalStrikeCof				Y								0
atSpiritToLunarCriticalStrikeCof				Y								0
atSpiritToNeutralCriticalStrikeCof				Y								0
atSpiritToPoisonCriticalStrikeCof				Y								0
atSpiritToPhysicsCriticalDamagePowerCof				Y								0
atSpiritToSolarCriticalDamagePowerCof				Y								0
atSpiritToLunarCriticalDamagePowerCof				Y								0
atSpiritToNeutralCriticalDamagePowerCof				Y								0
atSpiritToPoisonCriticalDamagePowerCof				Y								0
atSpiritToSolarMagicShieldCof				Y								0
atSpiritToLunarMagicShieldCof				Y								0
atSpiritToNeutralMagicShieldCof				Y								0
atSpiritToPoisonMagicShieldCof				Y								0
atSpiritToPoisonOvercomeCof				Y								0
atSpunkToManaReplenishCof				Y								0
atSpunkToPhysicsAttackPowerCof				Y								0
atSpunkToSolarAttackPowerCof				Y								0
atSpunkToLunarAttackPowerCof				Y								0
atSpunkToNeutralAttackPowerCof				Y								0
atSpunkToPoisonAttackPowerCof				Y								0
atSpunkToSolarAndLunarAttackPowerCof				Y								0
atSpunkToSolarCriticalStrikeCof				Y								0
atSpunkToSolarCriticalDamagePowerCof				Y								0
atSpunkToSolarAndLunarCriticalStrikeCof				Y								0
atSpunkToSolarAndLunarCriticalDamagePowerCof				Y								0
atSpunkToPhysicsCriticalStrikeCof				Y								0
atSpunkToPhysicsCriticalDamagePowerCof				Y								0
atSpunkToNeutralOvercomeCof				Y								0
atSpunkToNeutralCriticalStrikeCof				Y								0
atStrengthToPhysicsCriticalStrikeCof				Y								0
atStrengthToPhysicsAttackPowerCof				Y								0
atStrengthToPhysicsCriticalDamagePowerCof				Y								0
atStrengthToSolarAttackPowerCof				Y								0
atStrengthToLunarAttackPowerCof				Y								0
atStrengthToNeutralAttackPowerCof				Y								0
atStrengthToPoisonAttackPowerCof				Y								0
atStrengthToPhysicsOvercomeCof				Y								0
atAgilityToPhysicsCriticalStrikeCof				Y								0
atAgilityToPhysicsCriticalDamagePowerCof				Y								0
atAgilityToPoisonCriticalStrikeCof				Y								0
atAgilityToPhysicsAttackPowerCof				Y								0
atAgilityToSolarAndLunarAttackPowerCof				Y								0
atAgilityToPhysicsOvercomeCof				Y								0
atAgilityToDodgeCof				Y								0
atAutoSelectTarget				Y								0
atCallMentorBuff				Y								0
atMentorFormationEffect				Y								0
atSetUseBigSwordFlag				Y								0
atChangeCarrierState				Y								0
atAutoSelectTargetByLifeless				Y								0
atCastSubSkill				Y								0
atCastSkillTargetSelf				Y								0
atAddScale				Y								0
atCatchDash				Y								0
atAddGlobalAbsorbShieldByParry				Y								0
atStealBuff				Y								0
atCopyBuff				Y								0
atDamageToManaForDst				Y								0
atDecayVelocity				Y								0
atTransferBuff				Y								0
atStealSolarLunarNeutralPosionBuff				Y								0
atMagicShieldToAttackPowerCof				Y								0
atPhysicsShieldToAttackPowerCof				Y								0
atRecordOutputDamage				Y								0
atSyncCumulativeOutputDamage				Y								0
atSrcCallCommonDetachBuffScript				Y								0
atDstCallCommonDetachBuffScript				Y								0
atSurplusToDstNpcDamageCoefficient				Y								0
atKungfuType				Y								0
atExtraThreatCoefficient				Y								0
atSkillTherapyFinalCof				Y								0
atAgilityToLunarCriticalStrikeCof				Y								0
atAgilityToLunarAttackPowerCof				Y								0
atAgilityToLunarOvercomeCof				Y								0
atAdaptAttributeType				Y								0
atNoAdaptPhysicsAttackPowerBase				Y								0
atNoAdaptPhysicsCriticalStrikeBase				Y								0
atNoAdaptPhysicsCriticalDamagePowerBase				Y								0
atNoAdaptPhysicsOvercomeBase				Y								0
atCustomInteractRange				Y								0
