## skills (41435 rows)
-- 绝境: 182
   SkillName=天原绝境_滑翔翼 ; SkillID=29021 ; KindType=Physics ; FunctionType=Normal ; CastMode=CasterSingle ; ScriptFile=沙漠风暴/天原绝境_滑翔翼.lua ; MaxLevel=1
   SkillName=无相楼任务 ; SkillID=10868 ; KindType=Physics ; FunctionType=Normal ; CastMode=TargetSingle ; ScriptFile=Default.lua ; MaxLevel=1
   SkillName=无相门轻功 ; SkillID=10869 ; KindType=Physics ; FunctionType=Normal ; CastMode=TargetSingle ; ScriptFile=Default.lua ; MaxLevel=1
   SkillName=仙侣庭园_4号_无相咒 ; SkillID=14111 ; KindType=SolarMagic ; FunctionType=Normal ; CastMode=PointArea ; ScriptFile=npc\副本BOSS\永王行宫_仙侣庭院\4号_仲虚念\无相咒.lua ; MaxLevel=3
   SkillName=仙侣庭园_4号_无相咒惩戒 ; SkillID=14112 ; KindType=SolarMagic ; FunctionType=Normal ; CastMode=PointArea ; ScriptFile=npc\副本BOSS\永王行宫_仙侣庭院\4号_仲虚念\无相咒_惩戒.lua ; MaxLevel=3
   SkillName=问蝉_无相调息时间降低 ; SkillID=14754 ; KindType=SolarMagic ; FunctionType=Normal ; CastMode=CasterSingle ; ScriptFile=少林\镇派\少林_无相降低调息时间.lua ; MaxLevel=1
   SkillName=意相_血量越低无相持续时间越长 ; SkillID=14793 ; KindType=None ; FunctionType=Normal ; CastMode=CasterSingle ; ScriptFile=少林\90级奇穴\无相受控施展.lua ; MaxLevel=1
   SkillName=无相诀降低调息 ; SkillID=15744 ; KindType=None ; FunctionType=Normal ; CastMode=CasterSingle ; ScriptFile=少林\镇派\少林_无相被驱散减少CD.lua ; MaxLevel=1
   SkillName=无相诀反弹 ; SkillID=18164 ; KindType=SolarMagic ; FunctionType=Normal ; CastMode=CasterSingle ; ScriptFile=少林\少林_达摩武诀_无相诀反弹.lua ; MaxLevel=4
   SkillName=无相诀减伤提高 ; SkillID=19263 ; KindType=SolarMagic ; FunctionType=Normal ; CastMode=CasterSingle ; ScriptFile=Default.lua ; MaxLevel=1
   SkillName=24887 少林_善法_无相期间承伤减无相cd ; SkillID=24887 ; KindType=None ; FunctionType=Normal ; CastMode=CasterSingle ; ScriptFile=Default.lua ; MaxLevel=1
   SkillName=修罗僧_P1_无相劫指预警 ; SkillID=26072 ; KindType=Physics ; FunctionType=Normal ; CastMode=CasterSingle ; ScriptFile=npc/副本BOSS/挑战达摩洞/修罗僧/一阶段/修罗僧_P1_无相劫指预警.lua ; MaxLevel=2
   SkillName=修罗僧_P1_无相劫指实际伤害 ; SkillID=26073 ; KindType=Physics ; FunctionType=Normal ; CastMode=TargetSingle ; ScriptFile=npc/副本BOSS/挑战达摩洞/修罗僧/一阶段/修罗僧_P1_无相劫指实际伤害.lua ; MaxLevel=4
-- 连环: 40
   SkillName=连环弩 ; SkillID=3100 ; KindType=Physics ; FunctionType=Damage ; CastMode=TargetSingle ; ScriptFile=唐门\唐门_弓弩_连环弩.lua ; MaxLevel=1
   SkillName=连环弩_子技能_1级 ; SkillID=3183 ; KindType=Physics ; FunctionType=Damage ; CastMode=TargetSingle ; ScriptFile=唐门\连环弩_子技能_1级.lua ; MaxLevel=1
   SkillName=连环弩_子技能_2级 ; SkillID=3184 ; KindType=Physics ; FunctionType=Damage ; CastMode=TargetSingle ; ScriptFile=唐门\连环弩_子技能_2级.lua ; MaxLevel=1
   SkillName=连环弩_子技能_3级 ; SkillID=3185 ; KindType=Physics ; FunctionType=Damage ; CastMode=TargetSingle ; ScriptFile=唐门\连环弩_子技能_3级.lua ; MaxLevel=1
   SkillName=连环弩_子技能_击退 ; SkillID=3186 ; KindType=Physics ; FunctionType=Normal ; CastMode=TargetSingle ; ScriptFile=唐门\连环弩_子技能_击退.lua ; MaxLevel=1
   SkillName=十二连环坞 ; SkillID=10038 ; KindType=None ; FunctionType=Damage ; CastMode=TargetSingle ; ScriptFile=Default.lua ; MaxLevel=1
   SkillName=月侍弓_连环箭 ; SkillID=13695 ; KindType=Physics ; FunctionType=Damage ; CastMode=TargetSingle ; ScriptFile=npc\副本BOSS\弃智书院\月侍弓_连环箭.lua ; MaxLevel=2
   SkillName=仙侣庭园_关卡_连环刺 ; SkillID=14062 ; KindType=Physics ; FunctionType=Normal ; CastMode=TargetSingle ; ScriptFile=npc\副本BOSS\永王行宫_仙侣庭院\3号_关卡\剑士连环刺.lua ; MaxLevel=4
   SkillName=妙手连环_追命会心重置CD ; SkillID=14850 ; KindType=None ; FunctionType=Normal ; CastMode=CasterSingle ; ScriptFile=唐门\90级奇穴\唐门_惊羽_追命箭无视防御.lua ; MaxLevel=1
   SkillName=食雷兽连环爪击 ; SkillID=26099 ; KindType=Physics ; FunctionType=Normal ; CastMode=TargetSingle ; ScriptFile=Quest/节日冬至/食雷兽连环爪击.lua ; MaxLevel=1
   SkillName=7号_宫傲_连环爆炸 ; SkillID=26359 ; KindType=LunarMagic ; FunctionType=Normal ; CastMode=CasterArea ; ScriptFile=npc/副本BOSS/白帝江关/7号_宫傲/连环爆炸.lua ; MaxLevel=1
   SkillName=7号_宫傲_连环爆炸2 ; SkillID=26368 ; KindType=LunarMagic ; FunctionType=Normal ; CastMode=TargetSingle ; ScriptFile=npc/副本BOSS/白帝江关/7号_宫傲/连环爆炸2.lua ; MaxLevel=1
   SkillName=千机连环生成弩 ; SkillID=30840 ; KindType=None ; FunctionType=Normal ; CastMode=CasterSingle ; ScriptFile=唐门\千机连环生成弩.lua ; MaxLevel=1
   SkillName=狼牙_连环离弦 ; SkillID=31006 ; KindType=Physics ; FunctionType=Normal ; CastMode=CasterSingle ; ScriptFile=Quest/ACT_浪客行/狼牙_连环离弦.lua ; MaxLevel=1
   SkillName=狼牙_连环离弦_AOE ; SkillID=31007 ; KindType=Physics ; FunctionType=Normal ; CastMode=Rectangle ; ScriptFile=Quest/ACT_浪客行/狼牙_连环离弦_AOE.lua ; MaxLevel=3
   SkillName=千机连环分身连弩伤害 ; SkillID=31014 ; KindType=Physics ; FunctionType=Damage ; CastMode=TargetSingle ; ScriptFile=唐门\千机变_分身连弩伤害.lua ; MaxLevel=1
   SkillName=千机连环分身重弩伤害 ; SkillID=31015 ; KindType=Physics ; FunctionType=Normal ; CastMode=TargetSingle ; ScriptFile=唐门\千机变_重弩伤害.lua ; MaxLevel=1
   SkillName=千机连环分身连弩伤害50% ; SkillID=31024 ; KindType=Physics ; FunctionType=Damage ; CastMode=TargetSingle ; ScriptFile=唐门\千机变_分身连弩伤害.lua ; MaxLevel=1
   SkillName=千机连环分身重弩伤害50% ; SkillID=31025 ; KindType=Physics ; FunctionType=Normal ; CastMode=TargetSingle ; ScriptFile=唐门\千机变_分身重弩伤害.lua ; MaxLevel=1
   SkillName=千机连环连弩伤害普通 ; SkillID=31026 ; KindType=Physics ; FunctionType=Damage ; CastMode=TargetSingle ; ScriptFile=唐门\千机变_连弩伤害分身_普通.lua ; MaxLevel=1
   SkillName=千机连环连弩伤害高级 ; SkillID=31027 ; KindType=Physics ; FunctionType=Damage ; CastMode=TargetSingle ; ScriptFile=唐门\千机变_连弩伤害分身_普通.lua ; MaxLevel=1
   SkillName=千机连环重弩伤害普通 ; SkillID=31028 ; KindType=Physics ; FunctionType=Damage ; CastMode=PointArea ; ScriptFile=唐门\千机变_重弩伤害分身_普通.lua ; MaxLevel=1
   SkillName=千机连环重弩伤害高级 ; SkillID=31029 ; KindType=Physics ; FunctionType=Damage ; CastMode=PointArea ; ScriptFile=唐门\千机变_重弩伤害分身_高级.lua ; MaxLevel=1
   SkillName=千机连环重弩伤害普通减半 ; SkillID=31032 ; KindType=Physics ; FunctionType=Damage ; CastMode=PointArea ; ScriptFile=唐门\千机变_重弩伤害分身减半_普通.lua ; MaxLevel=1
   SkillName=千机连环重弩伤害高级减半 ; SkillID=31033 ; KindType=Physics ; FunctionType=Damage ; CastMode=PointArea ; ScriptFile=唐门\千机变_重弩伤害分身减半_高级.lua ; MaxLevel=1
   SkillName=狼牙_连环离弦_AOE_第一段 ; SkillID=31038 ; KindType=Physics ; FunctionType=Normal ; CastMode=Rectangle ; ScriptFile=Quest/ACT_浪客行/狼牙_连环离弦_AOE_第一段.lua ; MaxLevel=1
   SkillName=道具_连环弩 ; SkillID=32300 ; KindType=Physics ; FunctionType=Damage ; CastMode=TargetSingle ; ScriptFile=沙漠风暴/道具_连环弩.lua ; MaxLevel=1
   SkillName=道具_连环弩子技能1 ; SkillID=32302 ; KindType=Physics ; FunctionType=Damage ; CastMode=TargetSingle ; ScriptFile=沙漠风暴/道具_连环弩子技能1.lua ; MaxLevel=5
   SkillName=道具_连环弩子技能2 ; SkillID=32303 ; KindType=Physics ; FunctionType=Damage ; CastMode=TargetSingle ; ScriptFile=沙漠风暴/道具_连环弩子技能2.lua ; MaxLevel=5
   SkillName=道具_连环弩子技能3 ; SkillID=32304 ; KindType=Physics ; FunctionType=Damage ; CastMode=TargetSingle ; ScriptFile=沙漠风暴/道具_连环弩子技能3.lua ; MaxLevel=5
   SkillName=道具_连环弩子技能4击退 ; SkillID=32305 ; KindType=Physics ; FunctionType=Normal ; CastMode=TargetSingle ; ScriptFile=沙漠风暴/道具_连环弩子技能4击退.lua ; MaxLevel=1
   SkillName=唐门_千机连环30尺攻击检测技能 ; SkillID=32755 ; KindType=Physics ; FunctionType=Normal ; CastMode=TargetSingle ; ScriptFile=唐门\唐门_千机连环30尺攻击检测技能.lua ; MaxLevel=1
   SkillName=天策连环强伤害子技能 ; SkillID=32909 ; KindType=Physics ; FunctionType=Damage ; CastMode=TargetSingle ; ScriptFile=天策/90级奇穴/挫锐伤害子技能.lua ; MaxLevel=1
   SkillName=天策连环枪叠层数 ; SkillID=32910 ; KindType=Physics ; FunctionType=Damage ; CastMode=TargetSingle ; ScriptFile=天策/90级奇穴/连环枪叠buff.lua ; MaxLevel=1
   SkillName=寻宝_千机连环 ; SkillID=41430 ; KindType=Physics ; FunctionType=Normal ; CastMode=CasterSingle ; ScriptFile=奇境寻宝/唐门_惊羽诀/寻宝_千机连环.lua ; MaxLevel=1
   SkillName=寻宝_千机连环伤害子技能 ; SkillID=41435 ; KindType=Physics ; FunctionType=Damage ; CastMode=TargetSingle ; ScriptFile=奇境寻宝/唐门_惊羽诀/寻宝_千机连环实际伤害.lua ; MaxLevel=1
   SkillName=连环慢 ; SkillID=41437 ; KindType=LunarMagic ; FunctionType=Normal ; CastMode=PointArea ; ScriptFile=无相楼/傀儡调_召唤傀儡.lua ; MaxLevel=1
   SkillName=连环慢·贰 ; SkillID=41438 ; KindType=LunarMagic ; FunctionType=Normal ; CastMode=PointArea ; ScriptFile=无相楼/傀儡调_傀儡冲刺.lua ; MaxLevel=1
   SkillName=唐门_惊羽_万翎逐鸿连环弩 ; SkillID=44456 ; KindType=Physics ; FunctionType=Normal ; CastMode=TargetSingle ; ScriptFile=唐门\90级奇穴\唐门_惊羽_万翎逐鸿连环弩.lua ; MaxLevel=1
   SkillName=连环参悟施展A技后卸除增伤 ; SkillID=64531 ; KindType=Physics ; FunctionType=Normal ; CastMode=CasterSingle ; ScriptFile=八荒衡鉴\肉鸽门派技能\被动技能_施展A技后卸除增伤.lua ; MaxLevel=1
-- 飞爪: 19
   SkillName=子母飞爪之子爪 ; SkillID=3116 ; KindType=Physics ; FunctionType=Normal ; CastMode=TargetChain ; ScriptFile=唐门\唐门_诡道_子母飞爪之子爪.lua ; MaxLevel=1
   SkillName=子母飞爪之母爪 ; SkillID=3117 ; KindType=Physics ; FunctionType=Normal ; CastMode=TargetChain ; ScriptFile=唐门\唐门_诡道_子母飞爪之母爪.lua ; MaxLevel=1
   SkillName=曹炎烈_飞爪母技能 ; SkillID=15682 ; KindType=Physics ; FunctionType=Normal ; CastMode=TargetSingle ; ScriptFile=npc/副本BOSS/上阳宫_观风殿/曹炎烈_飞爪母技能.lua ; MaxLevel=1
   SkillName=曹炎烈_飞爪子技能 ; SkillID=15683 ; KindType=Physics ; FunctionType=Normal ; CastMode=TargetSingle ; ScriptFile=npc/副本BOSS/上阳宫_观风殿/曹炎烈_飞爪子技能.lua ; MaxLevel=1
   SkillName=新子母飞爪 ; SkillID=18481 ; KindType=Physics ; FunctionType=Normal ; CastMode=TargetChain ; ScriptFile=唐门\唐门_诡道_新子母飞爪.lua ; MaxLevel=1
   SkillName=新子母飞爪对友方 ; SkillID=18484 ; KindType=Physics ; FunctionType=Normal ; CastMode=TargetChain ; ScriptFile=唐门\唐门_诡道_新子母飞爪对友方.lua ; MaxLevel=1
   SkillName=子母飞爪队友动态技能 ; SkillID=18488 ; KindType=Physics ; FunctionType=Normal ; CastMode=TargetChain ; ScriptFile=唐门\唐门_诡道_子母飞爪队友动态技能.lua ; MaxLevel=1
   SkillName=子母飞爪队友动态技能1 ; SkillID=18489 ; KindType=Physics ; FunctionType=Normal ; CastMode=CasterSingle ; ScriptFile=唐门\唐门_诡道_子母飞爪队友动态技能1.lua ; MaxLevel=1
   SkillName=子母飞爪自身二段技能 ; SkillID=18511 ; KindType=Physics ; FunctionType=Normal ; CastMode=CasterSingle ; ScriptFile=唐门\唐门_诡道_子母飞爪自身二段.lua ; MaxLevel=1
   SkillName=唐门子母飞爪隐藏表现技能 ; SkillID=18516 ; KindType=None ; FunctionType=Normal ; CastMode=TargetChain ; ScriptFile=唐门\子母抓链状表现.lua ; MaxLevel=1
   SkillName=5号_飞爪表现 ; SkillID=18580 ; KindType=Physics ; FunctionType=Normal ; CastMode=TargetChain ; ScriptFile=npc\副本BOSS\上阳宫_观风殿\独孤先生\连线脚本.lua ; MaxLevel=2
   SkillName=子母飞爪可对友方目标释放 ; SkillID=23642 ; KindType=None ; FunctionType=Normal ; CastMode=CasterSingle ; ScriptFile=唐门\90级奇穴\唐门_子母飞爪可对队友释放.lua ; MaxLevel=1
   SkillName=唐门_天罗_鸿爪留泥_子母飞爪进攻 ; SkillID=25134 ; KindType=Physics ; FunctionType=Normal ; CastMode=TargetSingle ; ScriptFile=Default.lua ; MaxLevel=1
   SkillName=道具_临时飞爪 ; SkillID=28031 ; KindType=Physics ; FunctionType=Normal ; CastMode=PointArea ; ScriptFile=沙漠风暴/道具_临时飞爪.lua ; MaxLevel=2
   SkillName=道具_临时飞爪链状表现 ; SkillID=28032 ; KindType=Physics ; FunctionType=Normal ; CastMode=TargetChain ; ScriptFile=沙漠风暴/道具_临时飞爪链状表现.lua ; MaxLevel=1
   SkillName=洱海飞爪 ; SkillID=34919 ; KindType=Physics ; FunctionType=Normal ; CastMode=PointArea ; ScriptFile=沙漠风暴/道具_临时飞爪.lua ; MaxLevel=1
   SkillName=道具_临时飞爪_皆传 ; SkillID=37923 ; KindType=Physics ; FunctionType=Normal ; CastMode=PointArea ; ScriptFile=沙漠风暴/绝境·临时飞爪.lua ; MaxLevel=1
   SkillName=寻宝_子母飞爪 ; SkillID=41431 ; KindType=Physics ; FunctionType=Damage ; CastMode=TargetSingle ; ScriptFile=奇境寻宝/唐门_惊羽诀/寻宝_子母飞爪.lua ; MaxLevel=1
   SkillName=寻宝_子母飞爪实际拉人效果 ; SkillID=43356 ; KindType=Physics ; FunctionType=Damage ; CastMode=TargetChain ; ScriptFile=奇境寻宝/唐门_惊羽诀/寻宝_子母飞爪实际拉人.lua ; MaxLevel=1
-- 滑翔: 10
   SkillName=滑翔翼_绿豆机关弩 ; SkillID=19352 ; KindType=Physics ; FunctionType=Normal ; CastMode=TargetSingle ; ScriptFile=Quest/儿童节/滑翔翼_绿豆机关弩.lua ; MaxLevel=4
   SkillName=滑翔翼_芝麻机关弩 ; SkillID=19353 ; KindType=Physics ; FunctionType=Normal ; CastMode=TargetSingle ; ScriptFile=Quest/儿童节/滑翔翼_芝麻机关弩.lua ; MaxLevel=4
   SkillName=滑翔翼_火箭加速 ; SkillID=19354 ; KindType=Physics ; FunctionType=Normal ; CastMode=CasterSingle ; ScriptFile=Quest/儿童节/滑翔翼_火箭加速.lua ; MaxLevel=4
   SkillName=滑翔翼_火箭加速母技能 ; SkillID=19411 ; KindType=Physics ; FunctionType=Normal ; CastMode=CasterSingle ; ScriptFile=Quest/儿童节/滑翔翼_火箭加速母技能.lua ; MaxLevel=1
   SkillName=滑翔翼_绿豆机关弩母技能 ; SkillID=19420 ; KindType=Physics ; FunctionType=Normal ; CastMode=Sector ; ScriptFile=Quest/儿童节/滑翔翼_绿豆机关弩母技能.lua ; MaxLevel=1
   SkillName=滑翔翼_芝麻机关弩母技能 ; SkillID=19421 ; KindType=Physics ; FunctionType=Normal ; CastMode=Sector ; ScriptFile=Quest/儿童节/滑翔翼_芝麻机关弩母技能.lua ; MaxLevel=1
   SkillName=滑翔翼_糖果盒 ; SkillID=19448 ; KindType=Physics ; FunctionType=Normal ; CastMode=CasterSingle ; ScriptFile=Quest/儿童节/滑翔翼_糖果盒母技能.lua ; MaxLevel=1
   SkillName=滑翔翼_芝麻机关弩自动射击 ; SkillID=27093 ; KindType=Physics ; FunctionType=Normal ; CastMode=CasterSingle ; ScriptFile=Quest/儿童节/芝麻机关弩_自动射击母技能.lua ; MaxLevel=1
   SkillName=滑翔翼_绿豆机关弩自动射击 ; SkillID=27094 ; KindType=Physics ; FunctionType=Normal ; CastMode=CasterSingle ; ScriptFile=Quest/儿童节/绿豆机关弩_自动射击母技能.lua ; MaxLevel=1
   SkillName=天原绝境_滑翔翼 ; SkillID=29021 ; KindType=Physics ; FunctionType=Normal ; CastMode=CasterSingle ; ScriptFile=沙漠风暴/天原绝境_滑翔翼.lua ; MaxLevel=1
-- 火把: 11
   SkillName=大明宫_傀儡_火把 ; SkillID=5651 ; KindType=Physics ; FunctionType=Normal ; CastMode=CasterArea ; ScriptFile=npc\副本BOSS\大明宫\大明宫_傀儡·火把.lua ; MaxLevel=1
   SkillName=流离岛-詹素-挥舞火把 ; SkillID=6286 ; KindType=Physics ; FunctionType=Normal ; CastMode=CasterArea ; ScriptFile=npc\副本BOSS\流离岛\流离岛挥舞火把.lua ; MaxLevel=2
   SkillName=挥舞火把 ; SkillID=7828 ; KindType=Physics ; FunctionType=Normal ; CastMode=CasterArea ; ScriptFile=Quest\挥舞火把.lua ; MaxLevel=1
   SkillName=火把_流烟 ; SkillID=13781 ; KindType=None ; FunctionType=Normal ; CastMode=CasterArea ; ScriptFile=Quest\太原\火把_流烟.lua ; MaxLevel=1
   SkillName=明教_挥舞火把 ; SkillID=15394 ; KindType=Physics ; FunctionType=Normal ; CastMode=CasterSingle ; ScriptFile=Quest\ACT_95级门派事件\明教_挥舞火把.lua ; MaxLevel=1
   SkillName=霸刀_周六_火把流烟 ; SkillID=17090 ; KindType=None ; FunctionType=Normal ; CastMode=CasterArea ; ScriptFile=Quest/ACT_95级门派事件/霸刀_周六_火把流烟.lua ; MaxLevel=1
   SkillName=4号_拓跋思羽_火把范围 ; SkillID=20427 ; KindType=Physics ; FunctionType=Normal ; CastMode=CasterArea ; ScriptFile=npc/副本BOSS/冰火岛/没藏呼月/火把范围.lua ; MaxLevel=1
   SkillName=3号_火把 ; SkillID=22354 ; KindType=SolarMagic ; FunctionType=Normal ; CastMode=PointArea ; ScriptFile=npc/副本BOSS/凌雪阁_玄鹤别院/江潮/火把技能.lua ; MaxLevel=1
   SkillName=天原绝境_照明火把释放 ; SkillID=29043 ; KindType=None ; FunctionType=Damage ; CastMode=PointArea ; ScriptFile=沙漠风暴/天原绝境_照明火把释放.lua ; MaxLevel=1
   SkillName=天原绝境_照明火把实际效果 ; SkillID=29044 ; KindType=None ; FunctionType=Damage ; CastMode=CasterArea ; ScriptFile=沙漠风暴/照明火把实际效果.lua ; MaxLevel=2
   SkillName=1号_慈渡骨_火把子弹 ; SkillID=30347 ; KindType=Physics ; FunctionType=Normal ; CastMode=TargetSingle ; ScriptFile=npc/副本BOSS/河阳之战/1号_慈渡骨/1号_慈渡骨_火把子弹.lua ; MaxLevel=1
-- 燧石: 1
   SkillName=天原绝境_燧石单体 ; SkillID=29051 ; KindType=Physics ; FunctionType=Normal ; CastMode=TargetSingle ; ScriptFile=沙漠风暴/天原绝境_燧石点燃技能.lua ; MaxLevel=1
-- 战象: 5
   SkillName=天原绝境_战象践踏 ; SkillID=29146 ; KindType=None ; FunctionType=Damage ; CastMode=CasterArea ; ScriptFile=沙漠风暴/天原绝境战象践踏.lua ; MaxLevel=5
   SkillName=天原绝境_战象冲锋 ; SkillID=29264 ; KindType=None ; FunctionType=Damage ; CastMode=Rectangle ; ScriptFile=沙漠风暴/天原绝境战象冲刺.lua ; MaxLevel=1
   SkillName=天原绝境_战象下车 ; SkillID=29267 ; KindType=Physics ; FunctionType=Normal ; CastMode=CasterSingle ; ScriptFile=沙漠风暴/天原绝境战象下车.lua ; MaxLevel=1
   SkillName=天原绝境_战象践踏母技能 ; SkillID=29283 ; KindType=Physics ; FunctionType=Normal ; CastMode=CasterSingle ; ScriptFile=沙漠风暴/天原绝境战象践踏母技能.lua ; MaxLevel=1
   SkillName=天原绝境_战象推人母技能 ; SkillID=29476 ; KindType=Physics ; FunctionType=Normal ; CastMode=CasterSingle ; ScriptFile=沙漠风暴/天原绝境战象推人母技能.lua ; MaxLevel=1
-- 天玄: 2
   SkillName=天原绝境_天玄冰 ; SkillID=29637 ; KindType=Physics ; FunctionType=Normal ; CastMode=TargetSingle ; ScriptFile=沙漠风暴/天原绝境_天玄冰.lua ; MaxLevel=1
   SkillName=李天玄_冲刺技能 ; SkillID=36978 ; KindType=Physics ; FunctionType=Normal ; CastMode=PointArea ; ScriptFile=npc/桃园非梦/新手关/新手村通用冲刺.lua ; MaxLevel=1
-- 绝脉: 8
   SkillName=仙侣庭园_1号_绝脉劲爆炸 ; SkillID=14165 ; KindType=LunarMagic ; FunctionType=Normal ; CastMode=PointArea ; ScriptFile=npc\副本BOSS\永王行宫_仙侣庭院\1号_屈焰阳\1号_屈焰阳_绝脉劲爆炸.lua ; MaxLevel=5
   SkillName=仙侣庭园_1号_屈焰阳_绝脉爆炸AOE ; SkillID=14533 ; KindType=LunarMagic ; FunctionType=Normal ; CastMode=PointArea ; ScriptFile=npc\副本BOSS\永王行宫_仙侣庭院\1号_屈焰阳\1号_屈焰阳_绝脉爆炸AOE.lua ; MaxLevel=5
   SkillName=绝脉层数消除后造成伤害子技能 ; SkillID=38085 ; KindType=NeutralMagic ; FunctionType=Damage ; CastMode=TargetSingle ; ScriptFile=段氏/段氏子技能/绝脉层数消除后造成伤害子技能.lua ; MaxLevel=15
   SkillName=段氏奇穴_破穴引爆绝脉返能量加引窍伤害 ; SkillID=38467 ; KindType=Physics ; FunctionType=Normal ; CastMode=TargetSingle ; ScriptFile=Default.lua ; MaxLevel=1
   SkillName=段氏奇穴_额外炸3层绝脉 ; SkillID=38482 ; KindType=Physics ; FunctionType=Normal ; CastMode=TargetSingle ; ScriptFile=Default.lua ; MaxLevel=1
   SkillName=段氏奇穴_爆绝脉减疗 ; SkillID=38503 ; KindType=Physics ; FunctionType=Normal ; CastMode=TargetSingle ; ScriptFile=Default.lua ; MaxLevel=1
   SkillName=段氏奇穴_绝脉可叠加15层 ; SkillID=38509 ; KindType=Physics ; FunctionType=Normal ; CastMode=TargetSingle ; ScriptFile=Default.lua ; MaxLevel=1
   SkillName=绝境绝脉层数消除后造成伤害子技能 ; SkillID=39528 ; KindType=Adaptive ; FunctionType=Damage ; CastMode=TargetSingle ; ScriptFile=绝境战场/绝境绝脉爆炸伤害.lua ; MaxLevel=10
-- 武器初始: 9
   SkillName=绝境_四象轮回（武器初始） ; SkillID=64889 ; KindType=Adaptive ; FunctionType=Damage ; CastMode=TargetSingle ; ScriptFile=绝境战场\绝境_四象轮回.lua ; MaxLevel=1
   SkillName=绝境_穿云（武器初始） ; SkillID=64890 ; KindType=Adaptive ; FunctionType=Damage ; CastMode=TargetSingle ; ScriptFile=绝境战场\绝境_穿云.lua ; MaxLevel=1
   SkillName=绝境_普渡四方（武器初始） ; SkillID=64891 ; KindType=Adaptive ; FunctionType=Damage ; CastMode=TargetSingle ; ScriptFile=绝境战场\绝境_普渡四方.lua ; MaxLevel=1
   SkillName=绝境_夺魄箭（武器初始） ; SkillID=64892 ; KindType=Adaptive ; FunctionType=Damage ; CastMode=TargetSingle ; ScriptFile=绝境战场\绝境_夺魄箭.lua ; MaxLevel=1
   SkillName=绝境_夕照雷锋（武器初始） ; SkillID=64893 ; KindType=Adaptive ; FunctionType=Damage ; CastMode=TargetSingle ; ScriptFile=绝境战场\绝境_夕照雷锋.lua ; MaxLevel=1
   SkillName=绝境_阳明指（武器初始） ; SkillID=64894 ; KindType=Adaptive ; FunctionType=Damage ; CastMode=TargetSingle ; ScriptFile=绝境战场\绝境_阳明指.lua ; MaxLevel=1
   SkillName=绝境_蝎心（武器初始） ; SkillID=64895 ; KindType=Adaptive ; FunctionType=Normal ; CastMode=TargetSingle ; ScriptFile=绝境战场\绝境_蝎心.lua ; MaxLevel=1
   SkillName=绝境_赤日轮（武器初始） ; SkillID=64896 ; KindType=Adaptive ; FunctionType=Damage ; CastMode=TargetSingle ; ScriptFile=绝境战场\绝境_赤日轮.lua ; MaxLevel=1
   SkillName=绝境_江海凝光（武器初始） ; SkillID=64897 ; KindType=Adaptive ; FunctionType=Damage ; CastMode=TargetSingle ; ScriptFile=绝境战场\绝境_江海凝光.lua ; MaxLevel=1
## buff (6640 rows)
-- 绝境: 1
   Name=移动端_衍天_绝境战场_起卦回血 ; ID=71717 ; Useage=418 ; Count=3 ; Interval=16 ; MoveStateMask=3758030846
-- 楚河汉界: 1
   Name=移动端_霸刀_楚河汉界_隐藏且无敌 ; ID=70411 ; Useage=415 ; FunctionType=Normal ; Count=1 ; Interval=1920 ; MoveStateMask=3758030846
-- 雷霆: 2
   Name=移动端_雷霆震怒_控制效果 ; ID=70049 ; Useage=405 ; FunctionType=Stun ; Count=1 ; Interval=96 ; ScriptFile=七秀/移动端_云裳心经_子技能/移动端_雷霆震怒_秘籍效果.lua ; MoveStateMask=1405095936
   Name=移动端_雷霆震怒_秘籍秘章 ; ID=70066 ; Useage=405 ; Count=1 ; Interval=8 ; MoveStateMask=3758030846
-- 无相: 17
   Name=移动端_无相诀 ; ID=70875 ; Useage=401 ; Count=10 ; Interval=16 ; MoveStateMask=3758030846
   Name=移动段_无相楼_替型幻生护盾 ; ID=71555 ; Useage=450 ; Count=20 ; Interval=16 ; MoveStateMask=3758030846
   Name=移动段_无相楼_替型幻生秘籍减伤 ; ID=71556 ; Useage=450 ; Count=1 ; Interval=320 ; MoveStateMask=3758030846
   Name=无相楼隐身 ; ID=71557 ; Useage=450 ; Count=3 ; Interval=16 ; MoveStateMask=3620864254
   Name=移动端_无相楼_根据缠绞增伤 ; ID=71558 ; Useage=450 ; Count=1 ; Interval=32 ; MoveStateMask=3758030846
   Name=无相楼定身夹线buff ; ID=71561 ; Useage=450 ; FunctionType=Halt ; Count=1 ; Interval=8 ; MoveStateMask=1405100032
   Name=移动端_无相楼_勾线正在运功 ; ID=71562 ; Useage=450 ; Count=1 ; Interval=80 ; MoveStateMask=3758030846
   Name=移动端_无相楼_千丝落絮二段需求buff ; ID=71564 ; Useage=450 ; Count=1 ; Interval=4 ; MoveStateMask=67108864
   Name=移动端_无相楼_游丝枕月免控 ; ID=71565 ; Useage=450 ; Count=8 ; Interval=16 ; MoveStateMask=3758030846
   Name=移动端_无相楼_游丝枕月免控 ; ID=71565 ; Useage=450 ; Count=5 ; Interval=16 ; ScriptFile=无相楼/移动端_无相楼_子技能/移动端_游丝枕月二段免控结束.lua ; MoveStateMask=67108864
   Name=移动端_无相楼_傀儡在场证明 ; ID=71566 ; Useage=450 ; Count=1 ; ScriptFile=无相楼/移动端_无相楼_子技能/傀儡常驻buff消失.lua ; MoveStateMask=3758030846
