script	school	kind	fields_json	levels_json	calls	attrs
Quest\江湖百态\驭兽_哼哼_16249.lua	Quest	plain	{"nMinRadius": "0 * LENGTH_BASE", "nMaxRadius": "4 * LENGTH_BASE", "nAngleRange": "256", "nAreaRadius": "10 * LENGTH_BASE"}	[{"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}]		EXECUTE_SCRIPT
Quest\江湖百态\驭兽_小果_16211.lua	Quest	plain	{"nMinRadius": "0 * LENGTH_BASE", "nMaxRadius": "4 * LENGTH_BASE", "nAngleRange": "256", "nAreaRadius": "10 * LENGTH_BASE"}	[{"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}]		EXECUTE_SCRIPT
Quest\江湖百态\驭兽_小果_16213.lua	Quest	plain	{"nMinRadius": "0 * LENGTH_BASE", "nMaxRadius": "4 * LENGTH_BASE", "nAngleRange": "256", "nAreaRadius": "10 * LENGTH_BASE"}	[{"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}]		EXECUTE_SCRIPT
Quest\江湖百态\驭兽_灰狐_16239.lua	Quest	plain	{"nMinRadius": "0 * LENGTH_BASE", "nMaxRadius": "4 * LENGTH_BASE", "nAngleRange": "256", "nAreaRadius": "10 * LENGTH_BASE"}	[{"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}]		EXECUTE_SCRIPT
Quest\江湖百态\驭兽_葫芦_16267.lua	Quest	plain	{"nMinRadius": "0 * LENGTH_BASE", "nMaxRadius": "4 * LENGTH_BASE", "nAngleRange": "256", "nAreaRadius": "10 * LENGTH_BASE"}	[{"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}]		EXECUTE_SCRIPT
Quest\润扬任务\PQ357_黄七_多点圆形伤害蓄力.lua	Quest	plain	{"nMinRadius": "0 * LENGTH_BASE", "nMaxRadius": "200 * LENGTH_BASE", "nAngleRange": "256", "nAreaRadius": "4 * LENGTH_BASE", "nPrepareFrames": "48", "nBeatBackRate": "0 * PERCENT_BASE", "nBrokenRate": "0 * PERCENT_BASE", "nBreakRate": "0 * PERCENT_BASE", "nDismountingRate": "0"}	[{"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}]		EXECUTE_SCRIPT
Quest\润扬任务\PQ405_BOSS_持续圆形伤害.lua	Quest	plain	{"bIgnorePrepareState": "true", "nMinRadius": "0 * LENGTH_BASE", "nMaxRadius": "200 * LENGTH_BASE", "nAngleRange": "256", "nAreaRadius": "6 * LENGTH_BASE", "nBeatBackRate": "0 * PERCENT_BASE", "nBrokenRate": "0 * PERCENT_BASE", "nBreakRate": "0 * PERCENT_BASE", "nDismountingRate": "0", "nWeaponDamagePercent": "256"}	[{"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}]		CALL_PHYSICS_DAMAGE
Quest\润扬任务\PQ405_BOSS_放置圆形伤害.lua	Quest	plain	{"bIgnorePrepareState": "true", "nMinRadius": "0 * LENGTH_BASE", "nMaxRadius": "200 * LENGTH_BASE", "nAngleRange": "256", "nAreaRadius": "6 * LENGTH_BASE", "nBeatBackRate": "0 * PERCENT_BASE", "nBrokenRate": "0 * PERCENT_BASE", "nBreakRate": "0 * PERCENT_BASE", "nDismountingRate": "0", "nWeaponDamagePercent": "1280"}	[{"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}]		CALL_PHYSICS_DAMAGE
Quest\润扬任务\PQ405_BOSS_放置圆形吟唱.lua	Quest	plain	{"nMinRadius": "0 * LENGTH_BASE", "nMaxRadius": "200 * LENGTH_BASE", "nAngleRange": "256", "nAreaRadius": "6 * LENGTH_BASE", "nPrepareFrames": "32", "nBeatBackRate": "0 * PERCENT_BASE", "nBrokenRate": "0 * PERCENT_BASE", "nBreakRate": "0 * PERCENT_BASE", "nDismountingRate": "0"}	[{"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}]		
Quest\润扬任务\PQ405_BOSS_放置矩形伤害.lua	Quest	plain	{"bIgnorePrepareState": "true", "nMinRadius": "0 * LENGTH_BASE", "nMaxRadius": "200 * LENGTH_BASE", "nAngleRange": "256", "nAreaRadius": "16 * LENGTH_BASE", "nBeatBackRate": "0 * PERCENT_BASE", "nBrokenRate": "0 * PERCENT_BASE", "nBreakRate": "0 * PERCENT_BASE", "nDismountingRate": "0", "nWeaponDamagePercent": "1024"}	[{"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}]		CALL_PHYSICS_DAMAGE
Quest\润扬任务\PQ405_BOSS_放置矩形吟唱.lua	Quest	plain	{"nMinRadius": "0 * LENGTH_BASE", "nMaxRadius": "200 * LENGTH_BASE", "nAngleRange": "256", "nAreaRadius": "6 * LENGTH_BASE", "nPrepareFrames": "32", "nBeatBackRate": "0 * PERCENT_BASE", "nBrokenRate": "0 * PERCENT_BASE", "nBreakRate": "0 * PERCENT_BASE", "nDismountingRate": "0"}	[{"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}]		
Quest\润扬任务\PQ405_BOSS_蓄力圆形伤害.lua	Quest	plain	{"nMinRadius": "0 * LENGTH_BASE", "nMaxRadius": "30 * LENGTH_BASE", "nAngleRange": "256", "nAreaRadius": "30 * LENGTH_BASE", "nPrepareFrames": "48", "nBeatBackRate": "0 * PERCENT_BASE", "nBrokenRate": "0 * PERCENT_BASE", "nBreakRate": "0 * PERCENT_BASE", "nDismountingRate": "0", "nWeaponDamagePercent": "896"}	[{"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}]		CALL_PHYSICS_DAMAGE
Quest\润扬任务\PQ405_BOSS_链状表现.lua	Quest	plain	{"bIgnorePrepareState": "true", "nMinRadius": "0 * LENGTH_BASE", "nMaxRadius": "150 * LENGTH_BASE", "nAngleRange": "256", "nAreaRadius": "150 * LENGTH_BASE", "nBeatBackRate": "0 * PERCENT_BASE", "nBrokenRate": "0 * PERCENT_BASE", "nBreakRate": "0 * PERCENT_BASE", "nDismountingRate": "0"}	[{"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}]		
Quest\烂柯山\事件\PQ361BOSS_扇形AOE.lua	Quest	plain	{"nMinRadius": "0 * LENGTH_BASE", "nMaxRadius": "30 * LENGTH_BASE", "nAngleRange": "128", "nAreaRadius": "30 * LENGTH_BASE", "nPrepareFrames": "32", "nBeatBackRate": "0 * PERCENT_BASE", "nBrokenRate": "0 * PERCENT_BASE"}	[{"nDamageBase": "140000", "nDamageRand": "10000", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}]		CALL_PHYSICS_DAMAGE;SKILL_PHYSICS_DAMAGE;SKILL_PHYSICS_DAMAGE_RAND
Quest\烂柯山\事件\PQ361BOSS_矩形AOE1号.lua	Quest	plain	{"nMinRadius": "0 * LENGTH_BASE", "nMaxRadius": "30 * LENGTH_BASE", "nAreaRadius": "4 * LENGTH_BASE", "nPrepareFrames": "32", "nBeatBackRate": "0 * PERCENT_BASE", "nBrokenRate": "0 * PERCENT_BASE"}	[{"nDamageBase": "50000", "nDamageRand": "10000", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}]		CALL_PHYSICS_DAMAGE;SKILL_PHYSICS_DAMAGE;SKILL_PHYSICS_DAMAGE_RAND
Quest\烂柯山\事件\PQ361BOSS_矩形AOE2号.lua	Quest	plain	{"nMinRadius": "0 * LENGTH_BASE", "nMaxRadius": "30 * LENGTH_BASE", "nAreaRadius": "12 * LENGTH_BASE", "nPrepareFrames": "32", "nBeatBackRate": "0 * PERCENT_BASE", "nBrokenRate": "0 * PERCENT_BASE"}	[{"nDamageBase": "50000", "nDamageRand": "10000", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}]		CALL_PHYSICS_DAMAGE;SKILL_PHYSICS_DAMAGE;SKILL_PHYSICS_DAMAGE_RAND
Quest\烂柯山\事件\PQ361BOSS_矩形AOE3号.lua	Quest	plain	{"nMinRadius": "0 * LENGTH_BASE", "nMaxRadius": "30 * LENGTH_BASE", "nAreaRadius": "28 * LENGTH_BASE", "nPrepareFrames": "32", "nBeatBackRate": "0 * PERCENT_BASE", "nBrokenRate": "0 * PERCENT_BASE"}	[{"nDamageBase": "50000", "nDamageRand": "10000", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}]		CALL_PHYSICS_DAMAGE;SKILL_PHYSICS_DAMAGE;SKILL_PHYSICS_DAMAGE_RAND
Quest\烂柯山\事件\PQ361BOSS_矩形读条表现.lua	Quest	plain	{"nMinRadius": "0 * LENGTH_BASE", "nMaxRadius": "30 * LENGTH_BASE", "nAngleRange": "256", "nAreaRadius": "30 * LENGTH_BASE", "nPrepareFrames": "32", "nBeatBackRate": "0 * PERCENT_BASE", "nBrokenRate": "0 * PERCENT_BASE"}	[{"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}]		
Quest\烂柯山\事件\PQ395_圆形AOE.lua	Quest	plain	{"nMinRadius": "0 * LENGTH_BASE", "nMaxRadius": "30 * LENGTH_BASE", "nAngleRange": "256", "nAreaRadius": "3 * LENGTH_BASE", "nPrepareFrames": "32", "nBeatBackRate": "0 * PERCENT_BASE", "nBrokenRate": "0 * PERCENT_BASE"}	[{"nDamageBase": "130000", "nDamageRand": "20000", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}]		CALL_LUNAR_DAMAGE;SKILL_LUNAR_DAMAGE;SKILL_LUNAR_DAMAGE_RAND
Quest\烂柯山\事件\PQ395_扇形AOE.lua	Quest	plain	{"nMinRadius": "0 * LENGTH_BASE", "nMaxRadius": "40 * LENGTH_BASE", "nAngleRange": "85", "nAreaRadius": "30 * LENGTH_BASE", "nPrepareFrames": "32", "nBeatBackRate": "0 * PERCENT_BASE", "nBrokenRate": "0 * PERCENT_BASE"}	[{"nDamageBase": "200000", "nDamageRand": "100000", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}]		CALL_LUNAR_DAMAGE;SKILL_LUNAR_DAMAGE;SKILL_LUNAR_DAMAGE_RAND
Quest\烂柯山\事件\PQ395_拉人伤害.lua	Quest	plain	{"nMinRadius": "0 * LENGTH_BASE", "nMaxRadius": "40 * LENGTH_BASE", "nAngleRange": "256", "nAreaRadius": "40 * LENGTH_BASE", "nBeatBackRate": "0 * PERCENT_BASE", "nBrokenRate": "0 * PERCENT_BASE"}	[{"nDamageBase": "50000", "nDamageRand": "5000", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}]		CALL_LUNAR_DAMAGE;SKILL_LUNAR_DAMAGE;SKILL_LUNAR_DAMAGE_RAND
Quest\烂柯山\事件\PQ395_普攻.lua	Quest	plain	{"nMinRadius": "0 * LENGTH_BASE", "nMaxRadius": "40 * LENGTH_BASE", "nAngleRange": "256", "nAreaRadius": "40 * LENGTH_BASE", "nBeatBackRate": "0 * PERCENT_BASE", "nBrokenRate": "0 * PERCENT_BASE"}	[{"nDamageBase": "3000", "nDamageRand": "1000", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}]		CALL_LUNAR_DAMAGE;SKILL_LUNAR_DAMAGE;SKILL_LUNAR_DAMAGE_RAND
Quest\节日冬至\段树_引窍.lua	Quest	plain	{"nMinRadius": "0 * LENGTH_BASE", "nMaxRadius": "25 * LENGTH_BASE", "nAngleRange": "256", "nAreaRadius": "6 * LENGTH_BASE", "nChannelInterval": "6000"}	[{"nDamageBase": "5000", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "2000", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "2000", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "2000", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}]		CALL_NEUTRAL_DAMAGE;EXECUTE_SCRIPT;SKILL_NEUTRAL_DAMAGE;SKILL_NEUTRAL_DAMAGE_RAND
Quest\节日冬至\段树_引窍单体伤害.lua	Quest	plain	{"nMinRadius": "0 * LENGTH_BASE", "nMaxRadius": "25 * LENGTH_BASE", "nAngleRange": "256", "nAreaRadius": "6 * LENGTH_BASE", "nChannelInterval": "1000*dwSkillLevel"}	[{"nDamageBase": "2000", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "2000", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "2000", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "2000", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "2000", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "2000", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "2000", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "2000", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "2000", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "2000", "nDamageRand": "0", "nCostMana": "0"}]		CALL_NEUTRAL_DAMAGE;SKILL_NEUTRAL_DAMAGE;SKILL_NEUTRAL_DAMAGE_RAND
Quest\节日冬至\段树_引窍范围伤害.lua	Quest	plain	{"nMinRadius": "0 * LENGTH_BASE", "nMaxRadius": "25 * LENGTH_BASE", "nAngleRange": "256", "nAreaRadius": "6 * LENGTH_BASE", "nChannelInterval": "6000"}	[{"nDamageBase": "5000", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}]		CALL_NEUTRAL_DAMAGE;SKILL_NEUTRAL_DAMAGE;SKILL_NEUTRAL_DAMAGE_RAND
