0x00873000	rain
0x00877010	"
0x00877019	U
0x00877029	U
0x0087702C	`
0x00877038	"
0x00877041	V
0x00877050	0V
0x00877054	H
0x00877060	"
0x00877069	V
0x00877079	W
0x00877088	"
0x00877090	pW
0x008770A1	W
0x008770A4	X
0x008770B0	"
0x008770B9	W
0x008770C9	X
0x008770D8	"
0x008770E0	tX
0x008770F1	X
0x008770F4	`
0x00877100	"
0x00877109	X
0x00877119	Y
0x0087711C	P
0x00877128	"
0x00877130	hY
0x00877140	xY
0x00877144	X
0x00877150	"
0x00877159	Y
0x00877169	Y
0x0087716C	@
0x00877178	"
0x00877181	Z
0x00877191	Z
0x00877194	8
0x008771A0	"
0x008771A8	,Z
0x008771B8	@Z
0x008771BC	P
0x008771C8	"
0x008771D1	[
0x008771E1	[
0x008771E4	(
0x008771F0	A valid JSON document must be either an array or an object value.
0x00877238	Syntax error: value, object or array expected.
0x00877268	rue
0x0087726C	alse
0x00877274	ull
0x00877278	Missing ':' after object member name
0x008772A0	Missing ',' or '}' in object declaration
0x008772D0	Missing '}' or object member name
0x008772F8	Missing ',' or ']' in array declaration
0x00877320	' is not a number.
0x00877334	'
0x00877338	%lf
0x00877340	Empty escape sequence in string
0x00877360	Bad escape sequence in string
0x00877380	additional six characters expected to parse unicode surrogate pair.
0x008773D0	expecting another \u token to begin the second half of a unicode surrogate pair
0x00877420	Bad unicode escape sequence in string: four digits expected.
0x00877460	Bad unicode escape sequence in string: hexadecimal digit expected.
0x008774A8	"
0x008774B1	\
0x008774C0	P\
0x008774C4	0
0x008774D0	"
0x008774D9	\
0x008774E8	@]
0x008774FB	@
0x00877502	J@
0x00877508	V
0x0087750A	y@
0x00877510	%#.16g
0x00877518	"\
0x00877520	"
0x00877524	\"
0x00877528	\\
0x0087752C	\b
0x00877530	\f
0x00877534	\n
0x00877538	\r
0x0087753C	\t
0x00877540	\u
0x00877544	null
0x0087754C	[
0x00877550	]
0x00877554	{
0x00877558	:
0x0087755C	}
0x00877560	, 
0x00877568	streaming.dll
0x00877578	streaming sdk initialized.
0x00877598	streaming sdk load dll error %lu.
0x008775C0	InitStreaming
0x008775D0	streaming dll (%s) does not exist.
0x008775F8	TickStreaming
0x00877608	StreamingUpdateGameState
0x00877628	ExitStreaming
0x00877638	PeekStreamingMsgInternal
0x00877658	PushMsgToStreamingInternal
0x00877678	GetPlatformTypeInternal
0x00877690	NewStreamingVaribaleMemoryInternal
0x008776B8	DeleteStreamingVaribaleMemoryInternal
0x008776E0	boolean setopt(%d) got unsupported argument %ld, treated as %d
0x00877720	SESS
0x00877728	FLUSH
0x00877730	RELOAD
0x00877738	Set-Cookie:
0x00877744	SRP
0x00877748	setopt 0x%x got bad argument
0x00877768	CONNECT_ONLY is required
0x00877788	Failed to get recent socket
0x008777C8	 
0x008777CA	M@
0x00877811	EK@
0x00877831	EK@
0x00877850	-> [%s]
0x00877858	increasing xfer table size to %u
0x00877880	added to multi, mid=%u, running=%u, total=%u
0x008778B0	multi_done_locked, in use=%u
0x008778D0	Connection still in use %u, no more multi_done now!
0x00877910	multi_done, terminating conn #%lld to %s:%d, forbid=%d, close=%d, premature=%d, conn_multiplex=%d
0x00877980	multi_done, conn #%lld to %s:%d was shutdown by server, not reusing
0x008779C8	Connection #%lld to host %s:%d left intact
0x008779F8	multi_done: status: %d prem: %d done: %d
0x00877A28	removed from multi, mid=%u, running=%u, total=%u
0x00877A60	multi_getsock: unexpected multi state %d
0x00877A90	error determining pollset: %d
0x00877AB0	%s pollset[] has POLLIN, but there is still buffered input to consume -> mark as dirty
0x00877B08	%s pollset[], timeouts=%zu, paused %d/%d (r/w)
0x00877B38	IN
0x00877B40	%s pollset[fd=%qd %s%s], timeouts=%zu
0x00877B68	%s pollset[fd=%qd %s%s, fd=%qd %s%s], timeouts=%zu
0x00877BA0	%s pollset[fds=%u], timeouts=%zu
0x00877BC8	WARNING: no socket in pollset or timer, transfer may stall!
0x00877C08	multi_wait
0x00877C18	multi_wait(fds=%d, timeout=%d) tinternal=%ld
0x00877C48	Resolving timed out after %lld milliseconds
0x00877C78	Connection timed out after %lld milliseconds
0x00877CB0	Operation timed out after %lld milliseconds with %lld out of %lld bytes received
0x00877D10	Operation timed out after %lld milliseconds with %lld bytes received
0x00877D58	Downgrades to HTTP/1.1
0x00877D70	operation aborted by pre-request callback
0x00877D9C	found
0x00877DA8	missing
0x00877DB0	Curl_resolv_check() -> %d, %s
0x00877DD0	multi changed, check CONNECT_PEND queue
0x00877DF8	sub xfer done for master %u
0x00877E18	master easy %u without sub_xfer_done callback.
0x00877E48	master easy %u already gone.
0x00877E68	multi_perform(running=%u)
0x00877E88	PENDING handle timeout
0x00877EA0	multi_cleanup, closing admin handle, done
0x00877ED0	Curl_multi_will_close fd=%qd
0x00877EF0	dirty transfer %u no longer found
0x00877F18	gives multi timeout in %ldms
0x00877F38	[TIMER] clear
0x00877F48	[TIMER] set %ldms, none before
0x00877F68	[TIMER] set %ldms, replace previous
0x00877F90	set for %lldns
0x00877FA0	Internal error removing splay node = %d
0x00877FC8	cleared
0x00877FD0	Internal error clearing splay node = %d
0x00877FF8	[TIMEOUT] all cleared
0x00878010	transfer has no multi handle
0x00878030	transfer buffer size is 0
0x00878050	attempt to borrow xfer_buf when already borrowed
0x00878088	could not allocate xfer_buf of %zu bytes
0x008780B8	invalid easy handle in xfer table for mid=%u
0x008780E8	/
0x008780F0	ignoring failed cookie_init for %s
0x00878118	localhost
0x00878124	;
0x00878128	=
0x0087812C	;
0x00878130	cookie contains TAB, dropping
0x00878150	oversized cookie dropped, name/val %zu + %zu bytes
0x00878188	__Secure-
0x00878198	__Host-
0x008781A0	invalid octets in name/value, cookie dropped
0x008781D0	secure
0x008781D8	httponly
0x008781E4	path
0x008781EC	domain
0x008781F8	skipped cookie with bad tailmatch domain: %s
0x00878228	max-age
0x00878230	expires
0x00878238	#HttpOnly_
0x00878248	TRUE
0x00878250	FALSE
0x00878260	cookie '%s' for domain '%s' dropped, would overlay an existing cookie
0x008782A8	Replaced
0x008782B4	Added
0x008782C0	%s cookie %s="%s" for domain %s, path %s, expire %lld
0x008782F8	WARNING: failed to open cookie file "%s"
0x00878328	127.0.0.1
0x00878334	::1
0x00878338	Included max number of cookies (%zu) in request!
0x00878370	unknown
0x00878378	%s%s%s
0x0087837F	%s
0x00878382	%s
0x00878385	%s
0x00878388	%lld
0x0087838D	%s
0x00878390	%s
0x008783A0	# Netscape HTTP Cookie File
0x008783BC	# https://curl.se/docs/http-cookies.html
0x008783E5	# This file was generated by libcurl! Edit at your own risk.
0x00878428	WARNING: failed to save cookies in %s: %s
0x00878454	:%u
0x00878458	Hostname in DNS cache was stale, zapped
0x00878480	Hostname in DNS cache does not have needed family, zapped
0x008784C0	Shuffling %i addresses
0x008784D8	Store negative name resolve for %s:%d
0x00878500	.onion
0x00878508	.onion.
0x00878510	Not resolving .onion address (RFC 7686)
0x00878538	Hostname %s was found in DNS cache
0x00878560	localhost.
0x00878570	.localhost
0x00878580	.localhost.
0x00878590	Negative DNS entry
0x008785A8	Resolve address '%s' found illegal
0x008785D0	Couldn't parse CURLOPT_RESOLVE entry '%s'
0x00878600	RESOLVE %.*s:%lld - old addresses discarded
0x00878630	 (non-permanent)
0x00878648	Added %.*s:%lld:%s to DNS cache%s
0x00878670	RESOLVE *:%lld using wildcard
0x00878690	(none)
0x00878698	Host %s:%d was resolved.
0x008786B8	too many IP, cannot show
0x008786D8	IPv6: %s
0x008786E8	IPv4: %s
0x008786F8	Hostname '%s' was found in DNS cache
0x00878720	host
0x00878728	proxy
0x00878730	)
0x00878734	 (
0x00878738	Could not resolve %s: %s%s%s%s
0x00878760	8
0x00878763	@
0x00878768	P
0x0087876A	K@
0x00878772	K@
0x00878778	@
0x0087877B	@
0x00878780	P
0x00878782	K@
0x0087878A	K@
0x00878790	H
0x00878793	@
0x0087879A	K@
0x008787A2	K@
0x008787A8	P
0x008787AB	@
0x008787B0	@
0x008787B2	K@
0x008787BA	K@
0x008787C0	X
0x008787C3	@
0x008787CA	K@
0x008787D2	K@
0x008788F0	0123456789ABCDEF
0x00878908	l
0x0087890B	@
0x00878910	p
0x00878913	@
0x00878920	t
0x00878923	@
0x00878928	|
0x0087892B	@
0x00878933	@
0x00878943	@
0x0087894B	@
0x00878953	@
0x0087895B	@
0x00878963	@
0x0087896B	@
0x00878973	@
0x0087897B	@
0x00878983	@
0x0087898B	@
0x00878993	@
0x0087899B	@
0x008789A3	@
0x008789AB	@
0x008789B0	$
0x008789B3	@
0x008789BB	@
0x008789C0	,
0x008789C3	@
0x008789C8	8
0x008789CB	@
0x008789D0	H
0x008789D3	@
0x008789D8	P
0x008789DB	@
0x008789E0	`
0x008789E3	@
0x008789EA	K@
0x008789F2	K@
0x008789FA	K@
0x00878A00	0
0x00878A02	K@
0x00878A08	@
0x00878A0A	K@
0x00878A10	P
0x00878A12	K@
0x00878A18	@
0x00878A1A	K@
0x00878A22	K@
0x00878A29	y
0x00878A2B	@
0x00878A38	binary
0x00878A40	8bit
0x00878A48	7bit
0x00878A50	base64
0x00878A58	quoted-printable
0x00878A6C	\\\
0x00878A70	"\"
0x00878A74	"%22
0x00878A7D	%0D
0x00878A85	%0A
0x00878A8C	.gif
0x00878A98	image/gif
0x00878AA4	.jpg
0x00878AB0	image/jpeg
0x00878ABC	.jpeg
0x00878AC4	.png
0x00878AD0	image/png
0x00878ADC	.svg
0x00878AE8	image/svg+xml
0x00878AF8	.txt
0x00878B00	text/plain
0x00878B0C	.htm
0x00878B18	text/html
0x00878B24	.html
0x00878B2C	.pdf
0x00878B38	application/pdf
0x00878B48	.xml
0x00878B50	application/xml
0x00878B60	cr-mime
0x00878B68	Content-Type
0x00878B7E	--
0x00878B84	--
0x00878B90	; boundary=
0x00878BA0	Content-Type: %s%s%s
0x00878BB8	multipart/mixed
0x00878BC8	application/octet-stream
0x00878BE8	Content-Disposition
0x00878C00	multipart/
0x00878C10	attachment
0x00878C20	; filename="
0x00878C30	; name="
0x00878C40	Content-Disposition: %s%s%s%s%s%s%s
0x00878C68	Content-Transfer-Encoding
0x00878C88	Content-Transfer-Encoding: %s
0x00878CA8	multipart/form-data
0x00878CC0	form-data
0x00878CD0	cr_mime_read(len=%zu) is errored -> %d, eos=0
0x00878D00	cr_mime_read(len=%zu) seen eos -> 0, eos=1
0x00878D30	cr_mime_read(len=%zu), small read, using tmp
0x00878D60	cr_mime_read(len=%zu), mime_read() -> %zd
0x00878D90	client mime read EOF fail, only %lld/%lld of needed bytes read
0x00878DD0	operation aborted by callback
0x00878DF0	cr_mime_read(len=%zu), paused by callback
0x00878E20	read error getting mime data
0x00878E40	read function returned funny value
0x00878E68	cr_mime_read(len=%zu, total=%lld, read=%lld) -> %d, %zu, %d
0x00878EA8	Could only read %lld bytes from the mime post
0x00878ED8	Mime post already completely uploaded
0x00878F00	Cannot rewind mime/post data
0x00878F20	----------------if!
0x00878F34	host!
0x00878F40	ifhost!
0x00878F48	TCP
0x00878F4C	UDP
0x00878F50	UNIX
0x00878F58	TCP-ACCEPT
0x00878F68	Could not set TCP_NODELAY: %s
0x00878F88	Failed to set SO_KEEPALIVE on fd %qd: errno %d
0x00878FB8	Failed to set TCP_KEEPIDLE on fd %qd: errno %d
0x00878FE8	Failed to set TCP_KEEPIN
