script	school	min_range_chi	max_range_chi	area_radius_chi	angle_deg	rect_width_chi	protect_radius_chi	targets
八荒衡鉴\肉鸽门派技能\被动技能_基础系_移速快gcd也快.lua	八荒衡鉴	0	0	0	360	0	0	2(raw)
凌雪阁\套路及子技能\中断乱天狼表现技.lua	凌雪阁	0	0	0	360	0	0	2(raw)
凌雪阁\套路及子技能\乱天狼单手表现.lua	凌雪阁	0	0	0	360	0	0	2(raw)
凌雪阁\套路及子技能\孤风飒踏冲刺.lua	凌雪阁	0	30	100	360	0	0	5(raw)
凌雪阁\套路及子技能\孤风飒踏右手出链表现.lua	凌雪阁	0	40	0	360	0	0	1(raw)
凌雪阁\套路及子技能\孤风飒踏左手出链表现.lua	凌雪阁	0	40	0	360	0	0	1(raw)
凌雪阁\套路及子技能\斩无常增益技能.lua	凌雪阁	0	6	6	360			6(raw)
凌雪阁\套路及子技能\无间狱拉目标.lua	凌雪阁	MELEE_ATTACK_DISTANCE	30	0	360	0	0	2(raw)
凌雪阁\套路及子技能\暗度通用加十方.lua	凌雪阁	0	0	0	360	0	0	2(raw)
凌雪阁\套路及子技能\疑战孤风飒踏二段击飞.lua	凌雪阁	0	20	6	360	0	0	6(raw)
刀宗\套路及子技能\游风飘踪击倒子技能.lua	刀宗	0(raw)	30	8	360			
刀宗\套路及子技能\破绽产生.lua	刀宗	0	50	0	360	0	0	1(raw)
剑三moba\龙吟.lua	剑三moba	0	100	15	180	0	0	100(raw)
北天药宗\北天药宗奇穴套路\北天药宗_木通_温性寒性状态加强.lua	北天药宗	0	0	0	360	0	0	2(raw)
北天药宗\北天药宗奇穴套路\北天药宗_飘黄_逐云寒蕊增益.lua	北天药宗	0	20	50	360	0	0	2(raw)
北天药宗\套路及子技能\北天药宗_棘丛于地目标点方形.lua	北天药宗	0	50	5	360	6	0	5(raw)
北天药宗\套路及子技能\北天药宗_棘丛于地目标点方形0-5.lua	北天药宗	0	50	5	360	6	0	5(raw)
北天药宗\套路及子技能\北天药宗_棘丛于地目标点方形5-10.lua	北天药宗	0	50	5	360	6	0	5(raw)
北天药宗\套路及子技能\北天药宗_浅碧目标范围群免死.lua	北天药宗	0	6	6	360	0	0	3(raw)
北天药宗\套路及子技能\北天药宗_清嘉青川濯莲消耗自身气血治疗子技能.lua	北天药宗	0(raw)	50	6	360			3(raw)
北天药宗\套路及子技能\北天药宗_游泽目标点群定身伤害子技能.lua	北天药宗	0	30	6	360			5(raw)
北天药宗\套路及子技能\北天药宗_灵素反佐目标点范围中和治疗子技能.lua	北天药宗	0(raw)	50	6	360			2(raw)
北天药宗\套路及子技能\北天药宗_生地棘丛于地高额仇恨子技能.lua	北天药宗	0	50	4	360	0	0	5(raw)
北天药宗\套路及子技能\北天药宗_腐生予馈持续添加温毒子技能.lua	北天药宗	0	50	8	360			5(raw)
北天药宗\套路及子技能\北天药宗_逐云寒睿破隐一击伤害子技能.lua	北天药宗	0	50	4	360	0	0	5(raw)
唐门\90级奇穴\会心刷新化血镖事件.lua	唐门	0	0	0	360			2(raw)
唐门\90级奇穴\唐门_90奇穴_夺魄箭刷新穿心弩.lua	唐门	0	30	0	360	0	0	2(raw)
唐门\90级奇穴\唐门_天罗_给天绝地灭添加伤害效果.lua	唐门	0	50	0	360	0	0	2(raw)
唐门\90级奇穴\唐门_天罗_蚀肌弹千机变重置化血镖.lua	唐门	0	0	0	360	0	0	2(raw)
唐门\90级奇穴\唐门_惊羽_孔雀翎减CD.lua	唐门	0	0	0	360	0	0	2(raw)
唐门\90级奇穴\唐门_惊羽_招式会心回内.lua	唐门	0	0	0	360	0	0	2(raw)
唐门\90级奇穴\引爆dot事件.lua	唐门	0	0	0	360			2(raw)
唐门\唐门_幽影应神_额外范围孔雀翎.lua	唐门	0	25	8	180			6(raw)
唐门\唐门_幽影应神_额外范围雷震子.lua	唐门	0	25	8	180			6(raw)
唐门\唐门_暗器_化血镖.lua	唐门	0	20	6	180			5(raw)
唐门\唐门_暗器_孔雀翎.lua	唐门	0	20	0	180			2(raw)
唐门\唐门_机关_飞星发动天绝地灭.lua	唐门	0	20	6	360			1(raw)
唐门\唐门_诡道_惊鸿游龙.lua	唐门	0	4	0	360			2(raw)
唐门\套路及子技能\孔雀翎转移标记.lua	唐门	0	30	30	360			10(raw)
唐门\孔雀翎_内功.lua	唐门	0	30	10	180			1(raw)
唐门\孔雀翎_内功_子技能.lua	唐门	0	4	0	360			2(raw)
唐门\孔雀翎_外功.lua	唐门	0	40	10	180			1(raw)
唐门\孔雀翎_外功_子技能.lua	唐门	0	4	0	360			2(raw)
唐门\连环弩_子技能_1级.lua	唐门	0	25	0	180			2(raw)
唐门\连环弩_子技能_2级.lua	唐门	0	25	0	180			2(raw)
唐门\连环弩_子技能_3级.lua	唐门	0	25	0	180			2(raw)
唐门\连环弩_子技能_击退.lua	唐门	0	15	0	180			2(raw)
唐门\追命箭群攻实际伤害_外功.lua	唐门	0	30	1 * dwSkillLevel * LENGTH_BASE	360	6	0	1(raw)
唐门\追命额外伤害5-10.lua	唐门	5	10	1 * dwSkillLevel * LENGTH_BASE	360	6	0	1(raw)
唐门\镇派\刷新化血镖.lua	唐门	0	35	0	360			2(raw)
唐门\镇派\刷新化血镖_内功.lua	唐门	0	30	0	360			2(raw)
唐门\镇派\刷新化血镖_外功.lua	唐门	0	40	0	360			2(raw)
唐门\镇派\刷新化血镖_外功叠三层.lua	唐门	0	40	0	360			2(raw)
唐门\镇派\追命箭_额外伤害.lua	唐门	0	30	0	360			2(raw)
唐门\镇派\通用打断自己读条.lua	唐门	0	20	4	360	0	0	1(raw)
唐门\镇派\鸟翔碧空二段技能.lua	唐门	0	4	50	360			30(raw)
唐门\鸟翔落地冲刺过程.lua	唐门	0	60	1	360	0	0	1(raw)
天策\90级奇穴\招架重置定军.lua	天策	0	4	50	360			30(raw)
天策\90级奇穴\渊降低5秒调息时间.lua	天策	0	0	0	360	0	0	2(raw)
天策\90级奇穴\破风流血减灭CD挂buff.lua	天策	0	5	0	180	0	0	1(raw)
天策\天策_奔雷枪术_穿.lua	天策	0(raw)	8	8	180			10(raw)
天策\天策_子技能_守如山_傲血战意.lua	天策	0(raw)	4		180			
天策\天策_子技能_守如山_铁牢律.lua	天策	0(raw)	4		180			
天策\天策_子技能_掠如火_重置定军CD.lua	天策	0	25	6	360			10(raw)
天策\天策_子技能_穿_扇形伤害.lua	天策	0(raw)	10	10	90			5(raw)
天策\天策_技能事件_多次AOE破风.lua	天策	0(raw)	MELEE_ATTACK_DISTANCE	8 * LENGTH_BASE * 1.1	360			5(raw)
天策\天策_技能事件_灭命中后刷新破风.lua	天策	0	4	0	180			2(raw)
天策\天策_技能事件_灭命中后刷新破风挂DOT.lua	天策	0(raw)	MELEE_ATTACK_DISTANCE		180			
天策\天策_技能事件_灭命中后刷新破风挂DOT3目标.lua	天策	0(raw)	MELEE_ATTACK_DISTANCE	8 * LENGTH_BASE * 1.1	360			5(raw)
天策\天策_技能事件_龙城铁壁_驱散.lua	天策		20	20	360			
天策\天策_留侯_格挡重置定军.lua	天策	0	25	6	360			10(raw)
天策\天策_虎牙令_徐如林.lua	天策	0(raw)	MELEE_ATTACK_DISTANCE		180			
天策\奇穴破风易伤.lua	天策	0	20	0	360	0	0	2(raw)
天策\破风立刻造成一次伤害.lua	天策	0	8		180			
天策\镇派\突重置定军.lua	天策	0	4	0	360	0	0	2(raw)
家园系统\小火车\小火车_后车下车.lua	家园系统	0	4	0	360	0	0	2(raw)
家园系统\小火车\小火车_车头下车.lua	家园系统	0	4	0	360	0	0	2(raw)
家园系统\帮会联赛大车家具\大车家具_下车.lua	家园系统	0	4	0	360	0	0	2(raw)
家园系统\帮会联赛小车家具\小车家具_下车.lua	家园系统	0	4	0	360	0	0	2(raw)
家园系统\战斗管家\山寨商阳指.lua	家园系统	0	20	0	180	0	0	2(raw)
家园系统\拍照马车\下车.lua	家园系统	0	4	0	360	0	0	2(raw)
家园系统\摩天轮\摩天轮_后车下车.lua	家园系统	0	4	0	360	0	0	2(raw)
家园系统\摩天轮\摩天轮_车头下车.lua	家园系统	0	4	0	360	0	0	2(raw)
家园系统\旋转木马\旋转木马_后车下车.lua	家园系统	0	4	0	360	0	0	2(raw)
家园系统\旋转木马\旋转木马_车头下车.lua	家园系统	0	4	0	360	0	0	2(raw)
家园系统\跳楼机\跳楼机_后车下车.lua	家园系统	0	4	0	360	0	0	2(raw)
家园系统\跳楼机\跳楼机_车头下车.lua	家园系统	0	4	0	360	0	0	2(raw)
少林\优化眩晕延迟触发.lua	少林	0	0	0	360	0	0	2(raw)
少林\判定距离重置捉影.lua	少林	0	100	0	360	0	0	2(raw)
少林\右手舞棍.lua	少林	0	6	6	360	10	0	5(raw)
少林\子技能_少林_外缚印段3.lua	少林	0(raw)	6	5	360			5(raw)
少林\子技能_少林_守缺式二段伤害及表现.lua	少林	0(raw)	10		219.375			
少林\子技能_少林_智拳印段3.lua	少林	0(raw)	8	20	360			2(raw)
少林\少林_六合棍挂buff判定.lua	少林	0	0	6	360			5(raw)
少林\少林_子技能_外缚印段1.lua	少林	0(raw)	6	5	360			5(raw)
少林\少林_子技能_外缚印段2.lua	少林	0(raw)	6	5	360			5(raw)
少林\少林_子技能_捕风式瞬发捉影式.lua	少林	0(raw)	25	5	180			5(raw)
少林\少林_子技能_智拳印段1.lua	少林	0(raw)	8	20	360			2(raw)
少林\少林_子技能_智拳印段2.lua	少林	0(raw)	8	20	360			2(raw)
少林\少林_心诤表现母技能.lua	少林	0	4	0	360	0	0	1(raw)
少林\少林_技能事件_横扫六合_洗髓加点.lua	少林	0(raw)	10	0	360			2(raw)
少林\少林_拿云式增加伤害.lua	少林	0(raw)	5	0	180			2(raw)
少林\少林_袈裟伏魔功_五蕴皆空.lua	少林	0(raw)	MELEE_ATTACK_DISTANCE	0	180			2(raw)
少林\少林_韦陀献杵段一倒地2.lua	少林	0(raw)	5	0	180			2(raw)
少林\少林_龙爪功_抱残式.lua	少林	0(raw)	8		180			
少林\少林_龙爪功_捣虚式150%.lua	少林	0(raw)	8		180			
少林\少林_龙爪功_捣虚式额外伤害.lua	少林	0(raw)	8		180			
少林\立地成佛伤害子技能.lua	少林	0	30	5	360	5	0	5(raw)
少林\镇派\千斤坠_冲刺过程.lua	少林	0	20	20	360	0	0	10(raw)
少林\镇派\攻击_真如.lua	少林	0	4	50	360			30(raw)
少林\镇派\防御_洗髓可以用拿云.lua	少林	0	0	0	360	0	0	2(raw)
帮会\帮会约战_剑主天地.lua	帮会	0	20	8	180	0	0	30(raw)
帮会\帮会约战_捉影式.lua	帮会	0	20	8	180	0	0	30(raw)
明教\90级奇穴\满日AOE.lua	明教	0	8	8	360	0	0	5(raw)
明教\90级奇穴\满月AOE.lua	明教	0	8	8	360	0	0	5(raw)
明教\明教_圣明佑.lua	明教	0	20	0	360	0	0	2(raw)
明教\明教_圣明佑_日.lua	明教	0	0	0	360	0	0	2(raw)
明教\明教_圣明佑_月.lua	明教	0	0	0	360	0	0	2(raw)
明教\镇派\防御_除荡旷劫.lua	明教	0	0	0	360	0	0	2(raw)
段氏\段氏奇穴\8-4出岫降4秒.lua	段氏	0	20	50	360	0	0	2(raw)
段氏\段氏奇穴\段氏2-1涌泉_引窍伤害增幅增加.lua	段氏	0	20	50	360	0	0	2(raw)
段氏\段氏奇穴\段氏6-2悬枢_引窍充能并增强.lua	段氏	0	20	50	360	0	0	2(raw)
段氏\段氏奇穴\段氏6-3太溪_截阳打断充能.lua	段氏	0	20	50	360	0	0	2(raw)
段氏\段氏子技能\太溪截阳打断子技能.lua	段氏	0	30	0	360	0	0	2(raw)
段氏\段氏子技能\引窍破招伤害子技能.lua	段氏	0	100	0	360	0	0	1(raw)
段氏\段氏技能\虚影引窍表现招式.lua	段氏	0	20	0	180	0	0	2(raw)
江湖\基础特殊基础CD.lua	江湖	0	0	0	360	0	0	2(raw)
江湖\扫叶腿法_横扫千军.lua	江湖		6	6	360			4(raw)
江湖\绝境战场_移动端_蹑云逐月.lua	江湖		8.75	8.75	360	2		5(raw)
沙漠风暴\天原绝境战象下车.lua	沙漠风暴	0	10	0	360	0	0	2(raw)
沙漠风暴\绝境·临时飞爪.lua	沙漠风暴	0	40	100	360	0	0	1(raw)
沙漠风暴\道具_临时飞爪.lua	沙漠风暴	0	40	100	360	0	0	1(raw)
沙漠风暴\道具_临时飞爪链状表现.lua	沙漠风暴	0	100	0	360	0	0	2(raw)
沙漠风暴\道具_乘黄之威.lua	沙漠风暴	0	0	0	360	0	0	2(raw)
沙漠风暴\道具_九转归一.lua	沙漠风暴	0(raw)	8		119.531			
沙漠风暴\道具_云栖松.lua	沙漠风暴	0	4	6	180			1(raw)
沙漠风暴\道具_人剑合一伤害.lua	沙漠风暴	0	20	6	360			5(raw)
沙漠风暴\道具_人剑合一对敌方.lua	沙漠风暴	0	5	13.5	360			10(raw)
沙漠风暴\道具_人剑合一对自己.lua	沙漠风暴	0	5	13.5	360			10(raw)
沙漠风暴\道具_人剑合一母技能.lua	沙漠风暴	0	5	13.5	360			10(raw)
沙漠风暴\道具_任驰骋.lua	沙漠风暴	0(raw)	25	25	360			
沙漠风暴\道具_伪九霄风雷.lua	沙漠风暴	0	4	10	360			2(raw)
沙漠风暴\道具_伪九霄风雷下车.lua	沙漠风暴	0	0	0	360	0	0	2(raw)
沙漠风暴\道具_伪九霄风雷冲撞.lua	沙漠风暴	0	20	6	360	0	0	6(raw)
沙漠风暴\道具_伪九霄风雷加速.lua	沙漠风暴	0	0	0	360	0	0	2(raw)
沙漠风暴\道具_傍花随柳.lua	沙漠风暴	0	20	0	180			2(raw)
沙漠风暴\道具_傍花随柳_技能事件.lua	沙漠风暴	0(raw)	20	5	180			5(raw)
沙漠风暴\道具_凌然天风.lua	沙漠风暴	0	20	4	180	0	0	5(raw)
沙漠风暴\道具_凌然天风·前.lua	沙漠风暴	0	20	4	180	0	0	5(raw)
沙漠风暴\道具_凌然天风轨迹线技能.lua	沙漠风暴	0	20	4	180	0	0	5(raw)
沙漠风暴\道具_剑破虚空.lua	沙漠风暴	0(raw)	20	8	180			
沙漠风暴\道具_剑破虚空dot.lua	沙漠风暴	0	22	0	360			2(raw)
沙漠风暴\道具_剑破虚空子技能.lua	沙漠风暴	0	8	8	360			
沙漠风暴\道具_剑转流云.lua	沙漠风暴	0	20	20	360			2(raw)
沙漠风暴\道具_化蝶.lua	沙漠风暴	0	4	0	360			2(raw)
沙漠风暴\道具_十方玄机.lua	沙漠风暴	0	20	0	360	0	0	1(raw)
沙漠风暴\道具_十方玄机_破伪装.lua	沙漠风暴	0	100	4	360	0	0	1(raw)
沙漠风暴\道具_十方玄机清自身buff.lua	沙漠风暴	0	4	0	180	0	0	1(raw)
沙漠风暴\道具_听风吹雪.lua	沙漠风暴	0	25	0	360	0	0	2(raw)
沙漠风暴\道具_唐门车装填.lua	沙漠风暴	0	4	0	360			2(raw)
沙漠风暴\道具_啸如虎.lua	沙漠风暴	0(raw)	MELEE_ATTACK_DISTANCE		360			
沙漠风暴\道具_夺命蛊.lua	沙漠风暴	0	20	6	360			5(raw)
沙漠风暴\道具_如意法.lua	沙漠风暴	0	20	0	360	0	0	2(raw)
沙漠风暴\道具_孤影化双.lua	沙漠风暴	0	4	0	360	0	0	2(raw)
沙漠风暴\道具_孤风飒踏.lua	沙漠风暴	0	20	100	360	0	0	1(raw)
沙漠风暴\道具_孤风飒踏冲刺.lua	沙漠风暴	0	40	100	360	0	0	5(raw)
沙漠风暴\道具_孤风飒踏表现.lua	沙漠风暴	0	100	0	360	0	0	2(raw)
沙漠风暴\道具_守如山.lua	沙漠风暴	0(raw)	MELEE_ATTACK_DISTANCE		360			
沙漠风暴\道具_平沙落雁.lua	沙漠风暴	0	25	0	180	0	0	2(raw)
沙漠风暴\道具_幻蛊.lua	沙漠风暴	0	20	0	180	0	0	2(raw)
沙漠风暴\道具_幻蛊_失传.lua	沙漠风暴	0	20	0	180	0	0	2(raw)
沙漠风暴\道具_应天授命.lua	沙漠风暴	0	20	4	180	0	0	5(raw)
沙漠风暴\道具_徐如林.lua	沙漠风暴	0(raw)	MELEE_ATTACK_DISTANCE		180			
沙漠风暴\道具_徐如林技能事件.lua	沙漠风暴	0(raw)	4		360			
沙漠风暴\道具_心诤右手舞棍.lua	沙漠风暴	0	6	6	360	10	0	5(raw)
沙漠风暴\道具_心诤实际技能.lua	沙漠风暴	0	12	0	360	0	0	2(raw)
沙漠风暴\道具_心诤左手舞棍.lua	沙漠风暴	0	6	6	360	10	0	5(raw)
沙漠风暴\道具_心诤扫击.lua	沙漠风暴	0	12	12	180	0	0	10(raw)
沙漠风暴\道具_心诤表现母技能.lua	沙漠风暴	0	4	0	360	0	0	1(raw)
沙漠风暴\道具_怖畏暗刑.lua	沙漠风暴	0	4	0	180	0	0	2(raw)
沙漠风暴\道具_惊鸿游龙.lua	沙漠风暴	0	4	0	360			2(raw)
沙漠风暴\道具_抢珠式.lua	沙漠风暴	0	8		180			
沙漠风暴\道具_振翅图南.lua	沙漠风暴	0	20	0	360			2(raw)
沙漠风暴\道具_振翅图南伤害.lua	沙漠风暴	0	50	4	360			6(raw)
沙漠风暴\道具_捉影式.lua	沙漠风暴	MELEE_ATTACK_DISTANCE	20	0	180			2(raw)
沙漠风暴\道具_撼地.lua	沙漠风暴	0	20	20	180	0	0	1(raw)
沙漠风暴\道具_撼地_子_撼地击晕.lua	沙漠风暴	0	4	5	360	0	0	5(raw)
沙漠风暴\道具_散流霞.lua	沙漠风暴	0	0	0	360	0	0	2(raw)
沙漠风暴\道具_散流霞_延迟skillmove动作.lua	沙漠风暴	0	4	0	360	0	0	2(raw)
沙漠风暴\道具_散流霞_解除不可选中效果.lua	沙漠风暴	0	0	0	360	0	0	2(raw)
沙漠风暴\道具_斗转星移.lua	沙漠风暴	0	25	4	180	0	0	5(raw)
沙漠风暴\道具_斩无常.lua	沙漠风暴	0	6	0	360	0	0	2(raw)
沙漠风暴\道具_斩无常_子_伤害技能.lua	沙漠风暴	0	6	6	360			6(raw)
沙漠风暴\道具_斩无常_子_帮自己挡技能.lua	沙漠风暴	0	6	6	360			6(raw)
沙漠风暴\道具_斩无常保队友子技能.lua	沙漠风暴	0	6	6	360			6(raw)
沙漠风暴\道具_无间狱.lua	沙漠风暴	0	20	0	180	0	0	2(raw)
沙漠风暴\道具_无间狱挥砍一.lua	沙漠风暴	0	20	10	180	0	0	6(raw)
沙漠风暴\道具_无间狱挥砍三.lua	沙漠风暴	0	20	10	180	0	0	6(raw)
沙漠风暴\道具_无间狱挥砍二.lua	沙漠风暴	0	20	10	180	0	0	6(raw)
沙漠风暴\道具_无间狱推人.lua	沙漠风暴	0	20	10	360	0	0	6(raw)
沙漠风暴\道具_星楼月影.lua	沙漠风暴	0(raw)	0(raw)	0	360			2(raw)
沙漠风暴\道具_春泥护花.lua	沙漠风暴	0	20	0	360			2(raw)
沙漠风暴\道具_春泥护花_被击后驱散.lua	沙漠风暴	0	5	0	360		0	2(raw)
沙漠风暴\道具_暗尘弥散.lua	沙漠风暴	0	0	0	360	0	0	2(raw)
沙漠风暴\道具_暗尘弥散技能事件_删buff.lua	沙漠风暴	0	20	0	360	0	0	2(raw)
沙漠风暴\道具_极乐引.lua	沙漠风暴	0	20	10	360	0	0	6(raw)
沙漠风暴\道具_枯残蛊.lua	沙漠风暴	0	20	6	360			5(raw)
沙漠风暴\道具_梯云纵.lua	沙漠风暴			10	360			
沙漠风暴\道具_梯云纵_战斗状态.lua	沙漠风暴	0	0	0	360			2(raw)
沙漠风暴\道具_梯云纵_非战斗状态.lua	沙漠风暴	0	0	0	360			2(raw)
沙漠风暴\道具_楚河汉界.lua	沙漠风暴	0	4	0	360	0	0	2(raw)
沙漠风暴\道具_洗兵雨.lua	沙漠风暴	0	4	0	180	0	0	2(raw)
沙漠风暴\道具_浮光掠影.lua	沙漠风暴	0	4	0	360			2(raw)
沙漠风暴\道具_游风飘踪.lua	沙漠风暴	0(raw)	0(raw)	0	360			2(raw)
沙漠风暴\道具_游风飘踪解控子技能.lua	沙漠风暴	0(raw)	0(raw)	0	360			2(raw)
沙漠风暴\道具_烟雨行.lua	沙漠风暴	0	4	6	360	0	0	5(raw)
沙漠风暴\道具_琴音共鸣.lua	沙漠风暴	0	20	0	360	0	0	2(raw)
沙漠风暴\道具_生太极.lua	沙漠风暴	0(raw)	20	0	360			2(raw)
沙漠风暴\道具_生太极减益释放.lua	沙漠风暴	0	50	10	360			25(raw)
沙漠风暴\道具_疾如风.lua	沙漠风暴	0(raw)	MELEE_ATTACK_DISTANCE		180			
沙漠风暴\道具_疾电叱羽.lua	沙漠风暴	0	20	0	360			2(raw)
沙漠风暴\道具_疾电叱羽承伤AOE.lua	沙漠风暴	0	50	6	360			40(raw)
沙漠风暴\道具_盾立.lua	沙漠风暴	0	4	0	360	0	0	2(raw)
沙漠风暴\道具_禁断长生8尺.lua	沙漠风暴	0	8	8	360		8	20(raw)
沙漠风暴\道具_禁断长生伤害子技能.lua	沙漠风暴	0	200	100	360	0	0	-1(raw)
沙漠风暴\道具_穹隆化生.lua	沙漠风暴		4		90			
沙漠风暴\道具_穹隆化生_瞬发太极.lua	沙漠风暴	0(raw)	20	0	360			2(raw)
沙漠风暴\道具_笑醉狂.lua	沙漠风暴	0	4	0	360	0	0	2(raw)
沙漠风暴\道具_紫气东来.lua	沙漠风暴	0	5	0	360			2(raw)
沙漠风暴\道具_绛唇珠袖.lua	沙漠风暴	0(raw)	22		360			
沙漠风暴\道具_绛唇珠袖技能事件效果.lua	沙漠风暴	0(raw)	5		360			
沙漠风暴\道具_绿野蔓生.lua	沙漠风暴	0	20	4	180	0	0	5(raw)
沙漠风暴\道具_绿野蔓生击退目标子技能.lua	沙漠风暴	0	6	4	360	0	0	5(raw)
沙漠风暴\道具_绿野蔓生通知主人击退目标子技能.lua	沙漠风暴	0	50	4	360	0	0	5(raw)
沙漠风暴\道具_翔极碧落.lua	沙漠风暴	0	20	5	360	0	0	1(raw)
沙漠风暴\道具_翔极碧落打断后带沉默.lua	沙漠风暴	0	50	50	360	0	0	2(raw)
沙漠风暴\道具_舍身诀.lua	沙漠风暴	0(raw)	20	0	360			2(raw)
沙漠风暴\道具_舍身诀子技能.lua	沙漠风暴	0(raw)	20	0	360			2(raw)
沙漠风暴\道具_舍身诀解控子技能.lua	沙漠风暴	0	25	6	360			1(raw)
沙漠风暴\道具_花语酥心.lua	沙漠风暴	0	0	0	360			2(raw)
沙漠风暴\道具_蚀心蛊.lua	沙漠风暴	0	20	0	180	0	0	2(raw)
沙漠风暴\道具_蚀心蛊伤害.lua	沙漠风暴	0	100	6	180			5(raw)
沙漠风暴\道具_蝶弄足.lua	沙漠风暴	0(raw)	20		360			
沙漠风暴\道具_跃潮斩波.lua	沙漠风暴	0	25	5	360	0	0	1(raw)
沙漠风暴\道具_跃潮斩波_子_伤害.lua	沙漠风暴	0	30	0	360	0	0	1(raw)
沙漠风暴\道具_踏星行.lua	沙漠风暴	0	4	4	360	0	0	5(raw)
沙漠风暴\道具_转乾坤.lua	沙漠风暴	0(raw)	0(raw)	0	360			2(raw)
沙漠风暴\道具_连环弩.lua	沙漠风暴	0	25	0	180			2(raw)
沙漠风暴\道具_连环弩子技能1.lua	沙漠风暴	0	25	0	180			2(raw)
沙漠风暴\道具_连环弩子技能2.lua	沙漠风暴	0	25	0	180			2(raw)
沙漠风暴\道具_连环弩子技能3.lua	沙漠风暴	0	25	0	180			2(raw)
沙漠风暴\道具_连环弩子技能4击退.lua	沙漠风暴	0	15	0	180			2(raw)
沙漠风暴\道具_逐云寒蕊.lua	沙漠风暴	0	20	4	180	0	0	5(raw)
沙漠风暴\道具_逐云寒蕊破隐一击.lua	沙漠风暴	0	20	4	360	0	0	5(raw)
沙漠风暴\道具_镇山河.lua	沙漠风暴	0(raw)	20	0	360			2(raw)
沙漠风暴\道具_霞流宝石伤害.lua	沙漠风暴	0	6	6	360			10(raw)
沙漠风暴\道具_风来吴山.lua	沙漠风暴	0	6	6	360			10(raw)
沙漠风暴\道具_风车伤害子技能.lua	沙漠风暴	0	10	10	360			10(raw)
沙漠风暴\道具_飞刃回转.lua	沙漠风暴	0	15	4	180	0	0	5(raw)
沙漠风暴\道具_飞刃回转实际伤害.lua	沙漠风暴	0	50	6	360			4(raw)
沙漠风暴\道具_飞刃回转目标选择.lua	沙漠风暴	0	50	6	360			4(raw)
沙漠风暴\道具_鹊踏枝.lua	沙漠风暴	0(raw)	20	20	360			2(raw)
生活技能\医术\反隐道具.lua	生活技能	0	0	0	360	0	0	2(raw)
百战异闻录_玩家\冯度\花钱消灾_单体嘲讽.lua	百战异闻录_玩家	0	20	0	360	0	0	1(raw)
百战异闻录_玩家\华鹤炎\万花金创药.lua	百战异闻录_玩家	0	20	20	360	0	0	2(raw)
百战异闻录_玩家\基础CD处理.lua	百战异闻录_玩家	0	0	0	360	0	0	2(raw)
百战异闻录_玩家\方宇谦\定波式自断.lua	百战异闻录_玩家	0	20	4	360	0	0	1(raw)
百战异闻录_玩家\方宇谦\方宇谦_归潮长生驱散.lua	百战异闻录_玩家	0	100	0	360	0	0	1(raw)
百战异闻录_玩家\杜姬欣钱宗龙\帝骖龙翔.lua	百战异闻录_玩家	0	0	8	360	0	0	8(raw)
百战异闻录_玩家\杜姬欣钱宗龙\帝骖龙翔_数量判断.lua	百战异闻录_玩家	0	10	8	360	0	0	8(raw)
百战异闻录_玩家\通用_驱散混元.lua	百战异闻录_玩家	0	100	100	360	0	0	1(raw)
百战异闻录_玩家\道具\捕兽夹_圆形aoe.lua	百战异闻录_玩家	0	30	10	360			5(raw)
百战异闻录_玩家\陆寻\冥府滑行_下马.lua	百战异闻录_玩家	0	0	0	360	0	0	2(raw)
百战异闻录_玩家\陆寻\冥府滑行_冲锋.lua	百战异闻录_玩家	0	10	5	360	3	0	1(raw)
百战异闻录_玩家\陆寻\冥府滑行_右转表现.lua	百战异闻录_玩家	0	0	0	360	0	0	2(raw)
百战异闻录_玩家\陆寻\冥府滑行_左转表现.lua	百战异闻录_玩家	0	0	0	360	0	0	2(raw)
纯阳\90级奇穴\万剑归宗锁足.lua	纯阳	0	30	0	360	0	0	2(raw)
纯阳\90级奇穴\立即回复5点气.lua	纯阳	0	4	0	360	0	0	2(raw)
纯阳\凌太虚_匣中1.lua	纯阳	0	50	10	360			6(raw)
纯阳\凌太虚_匣中2.lua	纯阳	0	50	10	360			6(raw)
纯阳\天地悉归.lua	纯阳		4		90			
纯阳\天道剑势_万剑归宗_附魔判定.lua	纯阳	0	0	0	360	0	0	2(raw)
纯阳\套路及子技能\厚亡_三才加10秒.lua	纯阳	0	4	0	360	0	0	2(raw)
纯阳\套路及子技能\自化爆气竭.lua	纯阳	0	100	6	360			10(raw)
纯阳\子技能_三才化生_10点气.lua	纯阳	0	20	8	360			6(raw)
纯阳\子技能_三才化生_1点气.lua	纯阳	0	20	8	360			6(raw)
纯阳\子技能_三才化生_2点气.lua	纯阳	0	20	8	360			6(raw)
纯阳\子技能_三才化生_3点气.lua	纯阳	0	20	8	360			6(raw)
纯阳\子技能_三才化生_4点气.lua	纯阳	0	20	8	360			6(raw)
纯阳\子技能_三才化生_5点气.lua	纯阳	0	20	8	360			6(raw)
纯阳\子技能_三才化生_6点气.lua	纯阳	0	20	8	360			6(raw)
纯阳\子技能_三才化生_7点气.lua	纯阳	0	20	8	360			6(raw)
纯阳\子技能_三才化生_8点气.lua	纯阳	0	20	8	360			6(raw)
纯阳\子技能_三才化生_9点气.lua	纯阳	0	20	8	360			6(raw)
纯阳\子技能_九转归一伤害触发.lua	纯阳	0	30	0	360			2(raw)
纯阳\子技能_人剑合一_NPC调用敌对.lua	纯阳	0	5	0	360			2(raw)
