ID	Activity	ParentID1	ParentID2	StartTimeRule	Cycle	Duration	ShowUI	ServerScript	CenterScript	IsSyncState
988	天气效果3夜晚			Calendar:Solar;Year:2025;Month:5;MDay:2;WDay:*;Hour:22;Minute:0;	3628800	205200		scripts/Map/天气攻防/activity/下雪夜晚天气活动.lua		1
989	系统召请首领			Calendar:Solar;Year:*;Month:*;MDay:*;WDay:6,7;Hour:13,19;Minute:15;		2700		scripts/Map/天气攻防/activity/系统召请首领活动.lua		
995	战场日-雪域关城			Calendar:Solar;Year:2019;Month:7;MDay:4;WDay:*;Hour:7;Minute:0;	518400	86400	1			
997	战场-雪域关城	995		Calendar:Solar;Year:*;Month:*;MDay:*;WDay:1-5;Hour:12;Minute:0;	0	46740	1			
998	战场-雪域关城	995		Calendar:Solar;Year:*;Month:*;MDay:*;WDay:6,7;Hour:12;Minute:0;	0	46740	1			
1008	武林争霸赛定位赛第一场	647		Calendar:Solar;Year:2026;Month:5;MDay:6;WDay:*;Hour:20;Minute:0;		300	1	scripts/Map/帮会联赛_2024/activity/帮会联赛海选活动.lua		1
1009	武林争霸赛定位赛第二场	647		Calendar:Solar;Year:2026;Month:5;MDay:6;WDay:*;Hour:21;Minute:20;		300	1	scripts/Map/帮会联赛_2024/activity/帮会联赛海选活动.lua		1
1012	武林海选排行榜每日第一次更新	647		Calendar:Solar;Year:2026;Month:5;MDay:6;WDay:*;Hour:22;Minute:35;		240		scripts/Map/帮会联赛_2024/activity/海选排行榜更新.lua	center_scripts/Activity/center海选排行榜更新.lua	0
1013	武林海选排行榜每日第二次更新	647		Calendar:Solar;Year:*;Month:*;MDay:*;WDay:3;Hour:21;Minute:30;		240		scripts/Map/帮会联赛_2024/activity/海选排行榜更新.lua	center_scripts/Activity/center海选排行榜更新.lua	0
1022	GM开启联赛排名紧急用	662		Calendar:Solar;Year:2025;Month:9;MDay:4;WDay:*;Hour:10;Minute:0;		240			center_scripts/Activity/center海选排行榜更新.lua	
1028	绝境战场·乱武	937		Calendar:Solar;Year:2026;Month:2;MDay:5;WDay:*;Hour:12;Minute:0;	86400	46800	1			1
1031	烽烟再起·伊丽川	0	0	Calendar:Solar;Year:*;Month:*;MDay:*;WDay:6,7;Hour:12;Minute:0;	0	68340	1	scripts/Activity/阵营攻防战/新攻防前置活动.lua		
1032	烽烟再起·伊丽川分流	0	0	Calendar:Solar;Year:2001;Month:1;MDay:1;WDay:1;Hour:7;Minute:0;	0	68340		scripts/Activity/阵营攻防战/新攻防前置活动分流.lua		
1039	绝境战场·普通吃鸡开关			Calendar:Solar;Year:2026;Month:2;MDay:5;WDay:*;Hour:7;Minute:0;		2419199				0
# matched 175 (limit 200)
