====================================================================================================
鐮撮槻 count 60
   552 澶╃瓥-鐮撮-鐮撮槻 | FT= Damage | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atPhysicsShieldBase -7 | Cnt= 1 Ivl= 480 | Stack= 5
   22939 鍚嶅墤澶т細鑾峰彇濞佹湜涓婇檺璁板綍 | FT=  | Decay=  | MS= 4294967295 | Ban=  | Inv= 0 | A1=   | Cnt= 1 Ivl= 960 | Stack= 1
   30633 鍚嶅墤澶т細路瀵瑰眬鐏儹 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atGamePlayTherapyFinalCof -71 | Cnt= 1 Ivl= 4800 | Stack= 10
   33612 鍚嶅墤路淇濋攱甯?| FT=  | Decay=  | MS= 4294967294 | Ban= 0 | Inv= 0 | A1=   | Cnt= 1 Ivl= 16 | Stack= 1
====================================================================================================
绔炴妧 count 60
   2554 浠诲姟_绔炴妧鍦烘椂闂存帶鍒?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1=   | Cnt= 1 Ivl= 640 | Stack= 1
   3369 绔炴妧鍦篲鍒犺緟鍔╃被椋熷搧 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1=   | Cnt= 1 Ivl= 16 | Stack= 1
   3370 绔炴妧鍦篲鍒犲寮虹被椋熷搧 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1=   | Cnt= 1 Ivl= 16 | Stack= 1
   3371 绔炴妧鍦篲鍒犲甯?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1=   | Cnt= 1 Ivl= 16 | Stack= 1
   3372 绔炴妧鍦篲鍒犺緟鍔╃被鑽搧 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1=   | Cnt= 1 Ivl= 16 | Stack= 1
   3373 绔炴妧鍦篲鍒犲寮虹被鑽搧 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1=   | Cnt= 1 Ivl= 16 | Stack= 1
   3381 绔炴妧鍦篲鎴樻棗A | FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv=  | A1=   | Cnt= 1 Ivl= 57600 | Stack= 1
   3386 绔炴妧鍦篲鎴樻棗B | FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv=  | A1=   | Cnt= 1 Ivl= 57600 | Stack= 1
   3387 绔炴妧鍦篲鍒犳捈濡傞浄 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1=   | Cnt= 1 Ivl= 16 | Stack= 1
   3388 绔炴妧鍦篲鍒犳竻蹇冮潤姘?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1=   | Cnt= 1 Ivl= 16 | Stack= 1
   3389 绔炴妧鍦篲鍒犵姘?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1=   | Cnt= 1 Ivl= 16 | Stack= 1
   3390 绔炴妧鍦篲鍒犻洦闇栭搩 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1=   | Cnt= 1 Ivl= 16 | Stack= 1
   3391 绔炴妧鍦篲鍒犺埇鑻ヨ瘈 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1=   | Cnt= 1 Ivl= 16 | Stack= 1
   3392 绔炴妧鍦篲鍒犺嵂鐭虫皵鍔?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1=   | Cnt= 1 Ivl= 16 | Stack= 1
   3393 绔炴妧鍦篲鍒燘UFF鐢↖ | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1=   | Cnt= 1 Ivl= 0 | Stack= 1
   3449 绔炴妧鍦篲鏍囪鎴橀樁 | FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv=  | A1=   | Cnt= 1 Ivl= 16 | Stack= 1
   3602 绔炴妧鍦篲娓呭唴鍔熸爣璁?| FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv=  | A1=   | Cnt= 1 Ivl= 28800 | Stack= 1
   3849 绔炴妧鍦篲鍥炶摑鍥炶眴 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1=   | Cnt= 60 Ivl= 16 | Stack= 1
   3913 绔炴妧鍦篲鍒犵巹姘?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1=   | Cnt= 1 Ivl= 16 | Stack= 1
   5015 绔炴妧鍦篲鍙嶉殣褰UFF | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atCounterStealthRange 1920 | Cnt= 1 Ivl= 16 | Stack= 1
   7869 璁板綍绔炴妧鍦哄懆缁撶畻buff | FT=  | Decay=  | MS= 4294967295 | Ban=  | Inv= 0 | A1=   | Cnt= 1 Ivl= 960 | Stack= 1
   8547 绔炴妧鍦虹簿鑻辫禌 | FT=  | Decay=  | MS= 4294967295 | Ban=  | Inv= 0 | A1=   | Cnt= 1 Ivl= 16 | Stack= 10
   10274 绔炴妧鍦哄懆甯?| FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv= 0 | A1=   | Cnt= 1 Ivl= 57600 | Stack= 1
   11837 绔炴妧鍦虹姝㈡崲蹇冩硶 | FT=  | Decay=  | MS= 4294967294 | Ban= 520 | Inv= 0 | A1=   | Cnt= 15 Ivl= 32 | Stack= 1
   11839 绔炴妧鍦哄噯澶囨椂闂確鍙绌村垏鎹?| FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv= 0 | A1= atSetSelectableType 2 | Cnt= 1 Ivl= 16 | Stack= 1
   11840 绔炴妧鍦哄€掕鏃禵鏃犳硶鍒囨崲濂囩┐ | FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv= 0 | A1=   | Cnt= 1 Ivl= 16 | Stack= 1
   11878 绔炴妧鍦烘帓闃熸爣璁?| FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv= 0 | A1=   | Cnt= 16 Ivl= 32 | Stack= 1
   11880 绔炴妧鍦烘儵缃?| FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv= 0 | A1=   | Cnt= 5 Ivl= 960 | Stack= 1
   11881 绔炴妧鍦轰笁灞?| FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv= 0 | A1=   | Cnt= 1 Ivl= 57600 | Stack= 3
   12476 闃佃惀鎶纰庣墖绔炴妧鍦?| FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv= 0 | A1=   | Cnt= 1 Ivl= 960 | Stack= 1
   12855 濂崇敓绔炴妧鍦?| FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv= 0 | A1=   | Cnt= 48 Ivl= 57600 | Stack= 1
   13120 绔炴妧鍦篲璧涚偣鏍囪 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1=   | Cnt= 1 Ivl= 16 | Stack= 1
   13479 杩涘叆绔炴妧鍦烘爣璁?| FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv= 0 | A1=   | Cnt= 1 Ivl= 0 | Stack= 1
   13597 绔炴妧鍦虹姸鎬佹満鏃犳晫buff | FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv=  | A1= atNegativeShield 1 | Cnt= 400 Ivl= 48 | Stack= 1
   13598 绔炴妧鍦虹姸鎬佹満鍑忎激buff | FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv=  | A1= atRepulsedRate -1024 | Cnt= 40000 Ivl= 48 | Stack= 1
   13695 绔炴妧鍦虹姸鎬佹満闄勮繎鎵撴枟鐮村潖buff | FT=  | Decay=  | MS= 4294967294 | Ban= 1014 | Inv= 0 | A1= atSkillEventHandler 1523 | Cnt= 192 Ivl= 80 | Stack= 1
   13698 绔炴妧鍦虹姸鎬佹満婧呭皠cdBuff | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1=   | Cnt= 1 Ivl= 16 | Stack= 1
   14326 绔炴妧鍦哄欢鏃堕噴鏀惧啿鍑绘尝鎶€鑳?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1=   | Cnt= 1 Ivl= 4 | Stack= 1
   14390 绔炴妧鍦哄欢鏃惰缃閲?0% | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1=   | Cnt= 1 Ivl= 4 | Stack= 1
   14544 鎴樺満绔炴妧鍦烘帓闃烠D | FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv= 0 | A1=   | Cnt= 5 Ivl= 16 | Stack= 1
   15011 璁板綍绔炴妧鍦烘埧闂村彿 | FT=  | Decay=  | MS= 4294967295 | Ban=  | Inv= 0 | A1=   | Cnt= 1 Ivl= 80 | Stack= 1
   15088 璁板綍绔炴妧鍦烘埧闂寸被鍨?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1=   | Cnt= 1 Ivl= 160 | Stack= 1
   16654 绔炴妧鍦鸿兘鍔涗慨姝?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atBeTherapyCoefficient -41 | Cnt= 1 Ivl= 960 | Stack= 33
   17644 绔炴妧鍦?5鏈哄櫒浜哄噺鐤椾慨姝?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atBeTherapyCoefficient -51 | Cnt= 1 Ivl= 16 | Stack= 10
   17678 绔炴妧鍦篛B闃茶鎵?| FT= Stun | Decay=  | MS= 4294967295 | Ban=  | Inv=  | A1= atIgnoreGravity  | Cnt= 1 Ivl= 0 | Stack= 1
   18024 绔炴妧鍦哄満涓爣璁?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atDisableSprintFlag  | Cnt= 1 Ivl= 16 | Stack= 1
   19548 绔炴妧鍦虹粌涔犳満鍣ㄤ汉鏍囪 | FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv= 0 | A1=   | Cnt= 10080 Ivl= 960 | Stack= 1
   20116 绔炴妧鍦?-璧涘娈典綅缁ф壙 | FT=  | Decay=  | MS= 4294967295 | Ban=  | Inv= 0 | A1=   | Cnt= 1 Ivl= 480 | Stack= 1
   21847 鍑屼簯姊痏绔炴妧鍦哄嚭鏉ュ悗灏濊瘯瑙﹀彂 | FT=  | Decay=  | MS= 4294967295 | Ban=  | Inv= 0 | A1=   | Cnt= 1 Ivl= 16 | Stack= 1
   23137 绔炴妧鍦烘瘡鍛ㄨ褰曟嫮鍓戝疂绠辨暟閲?| FT=  | Decay=  | MS= 4294967295 | Ban=  | Inv= 0 | A1=   | Cnt= 1 Ivl= 16 | Stack= 20
   23239 绔炴妧鍦烘渶楂樺垎璁板綍 | FT=  | Decay=  | MS= 4294967295 | Ban=  | Inv= 0 | A1=   | Cnt= 1 Ivl= 0 | Stack= 1
   23240 绔炴妧鍦烘渶楂樺垎璁板綍2 | FT=  | Decay=  | MS= 4294967295 | Ban=  | Inv= 0 | A1=   | Cnt= 1 Ivl= 0 | Stack= 1
   23242 绔炴妧瀵瑰眬 | FT=  | Decay=  | MS= 4294967295 | Ban=  | Inv= 0 | A1=   | Cnt= 1 Ivl= 960 | Stack= 1
   24086 2鍙风珵鎶€鍦哄瓨妗ｇ偣鍒ゅ畾buff | FT=  | Decay=  | MS= 3758096382 | Ban=  | Inv= 0 | A1=   | Cnt= 1 Ivl= 0 | Stack= 1
   24087 1鍙风珵鎶€鍦哄瓨妗ｇ偣鍒ゅ畾buff | FT=  | Decay=  | MS= 3758096382 | Ban=  | Inv= 0 | A1=   | Cnt= 1 Ivl= 0 | Stack= 1
====================================================================================================
鎴樺満 count 60
   1189 绁炲啘娲嘷鎴樺満BOSS_澶ф瘨灏竉鐙傛毚 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atSkillPhysicsDamage 310000 | Cnt= 1 Ivl= 0 | Stack= 1
   3149 鎴樺満涓炬姤_鍋锋噿鑰嶆粦 | FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv=  | A1=   | Cnt= 1 Ivl= 480 | Stack= 1
   3150 鎴樺満涓炬姤_鍐呯疆CD | FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv=  | A1=   | Cnt= 1 Ivl= 480 | Stack= 1
   3152 鎴樺満涓炬姤_琚妇鎶ョ殑debuff | FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv=  | A1=   | Cnt= 1 Ivl= 480 | Stack= 25
   4122 鎴樺満鏍囪 | FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv=  | A1=   | Cnt= 1 Ivl= 960 | Stack= 5
   7551 鎴樺満涓哄府浼氬姞鍒?| FT=  | Decay=  | MS= 4294967295 | Ban=  | Inv= 0 | A1=   | Cnt= 1 Ivl= 9600 | Stack= 1
   11614 鎴樺満浠诲姟buff | FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv= 0 | A1=   | Cnt= 5 Ivl= 57600 | Stack= 1
   11962 鎴樺満棣栬儨buff | FT=  | Decay=  | MS= 4294967295 | Ban=  | Inv= 0 | A1=   | Cnt= 1 Ivl= 960 | Stack= 1
   12009 鎴樺満绂佹鍒囧績娉?| FT=  | Decay=  | MS= 4294967294 | Ban= 520 | Inv= 0 | A1=   | Cnt= 180 Ivl= 160 | Stack= 1
   12015 鎴樺満YY闃?| FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv= 0 | A1=   | Cnt= 45 Ivl= 640 | Stack= 1
   12203 鎴樺満瑙﹀彂濂囬亣 | FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv= 0 | A1=   | Cnt= 1 Ivl= 1920 | Stack= 1
   12455 浣撻獙鎴樺満鍥炶 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1=   | Cnt= 1 Ivl= 8 | Stack= 1
   12456 浣撻獙鎴樺満鐙傛毚 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atPhysicsCriticalStrikeBaseRate 6000 | Cnt= 30 Ivl= 16 | Stack= 1
   12466 浣撻獙鎴樺満鐩戞帶buff | FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv= 0 | A1= atImmuneSkillMove 1 | Cnt= 1 Ivl= 16 | Stack= 1
   12476 闃佃惀鎶纰庣墖鎴樺満 | FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv= 0 | A1=   | Cnt= 1 Ivl= 960 | Stack= 1
   12595 浣撻獙鎴樺満鍊掕鏃朵紶閫乥uff | FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv= 0 | A1=   | Cnt= 10 Ivl= 16 | Stack= 1
   12800 鎴樺満鎺掗槦鍊掕鏃?| FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv= 0 | A1= atExecuteScript Map/鎴樺満閫氱敤/skill/鎴樺満鎺掗槦閫氱敤.lua | Cnt= 1 Ivl= 16 | Stack= 1
   12821 鎴樺満绂佹鎺掗槦 | FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv= 0 | A1=   | Cnt= 15 Ivl= 640 | Stack= 1
   13211 鎴樺満涓炬姤澶嶆煡buff | FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv= 0 | A1=   | Cnt= 1 Ivl= 0 | Stack= 1
   13395 鎴樺満鎻愬墠閫冨嚭澶勭悊 | FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv= 0 | A1=   | Cnt= 1 Ivl= 16 | Stack= 1
   14543 绂诲紑鎴樺満鍊掕鏃?| FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv= 0 | A1=   | Cnt= 1 Ivl= 16 | Stack= 1
   14544 鎴樺満绔炴妧鍦烘帓闃烠D | FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv= 0 | A1=   | Cnt= 5 Ivl= 16 | Stack= 1
   14577 鎴樺満鍒伴挦浣゜uff | FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv= 0 | A1=   | Cnt= 1 Ivl= 0 | Stack= 1
   14726 鎴樺満绂佹鐢ㄥ绌存彁绀?| FT=  | Decay=  | MS= 4294901758 | Ban=  | Inv= 0 | A1=   | Cnt= 1 Ivl= 99999 | Stack= 1
   14996 MOBA鎴樺満瑁呭 | FT=  | Decay=  | MS= 3758030786 | Ban=  | Inv= 0 | A1= atFreeze  | Cnt= 1 Ivl= 128 | Stack= 1
   15111 鎴樺満缁勬帓鏍囪 | FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv= 0 | A1=   | Cnt= 960 Ivl= 5 | Stack= 1
   15189 鎴樺満甯堢埗鏍囪 | FT=  | Decay=  | MS= 4294967295 | Ban=  | Inv= 0 | A1=   | Cnt= 1 Ivl= 57600 | Stack= 1
   15190 鎴樺満寰掑紵鏍囪 | FT=  | Decay=  | MS= 4294967295 | Ban=  | Inv= 0 | A1=   | Cnt= 1 Ivl= 57600 | Stack= 1
   15193 鎴樺満寰掑紵鏍囪2 | FT=  | Decay=  | MS= 4294967295 | Ban=  | Inv= 0 | A1=   | Cnt= 1 Ivl= 57600 | Stack= 1
   15194 鎴樺満寰掑紵鏍囪3 | FT=  | Decay=  | MS= 4294967295 | Ban=  | Inv= 0 | A1=   | Cnt= 1 Ivl= 57600 | Stack= 1
   15319 甯堝緬娲诲姩_鍏卞悓鎴樺満鏍囪 | FT=  | Decay=  | MS= 4294967295 | Ban=  | Inv= 0 | A1=   | Cnt= 1 Ivl= 96000 | Stack= 1
   19009 璁告効鏍懧烽┌楠嬫垬鍦?| FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv= 0 | A1=   | Cnt= 1 Ivl= 960 | Stack= 1
   19264 绂佷护路闃佃惀鎴樺満 | FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv=  | A1=   | Cnt= 1 Ivl= 9676800 | Stack= 14
   19404 鎴樺満鏈懆鍙屽€嶅▉鏈?| FT=  | Decay=  | MS= 4294967295 | Ban=  | Inv= 0 | A1=   | Cnt= 1 Ivl= 960 | Stack= 1
   19582 鎴樺満棰?0000濞佹湜瑙﹀彂榛戠櫧璺爣璁?| FT=  | Decay=  | MS= 4294967295 | Ban=  | Inv= 0 | A1=   | Cnt= 1 Ivl= 960 | Stack= 10
   19584 绂佽路闃佃惀鎴樺満 | FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv=  | A1=   | Cnt= 1 Ivl= 1382400 | Stack= 14
   19590 绂佽路缁濆鎴樺満 | FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv=  | A1=   | Cnt= 1 Ivl= 1382400 | Stack= 14
   19621 姹熸箹琛岃璁板綍鎴樺満姣忓懆鍙戝娆℃暟 | FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv= 0 | A1=   | Cnt= 1 Ivl= 960 | Stack= 8
   19652 鎴樺満绔欐棗鏃堕暱缁熻 | FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv= 0 | A1=   | Cnt= 1800 Ivl= 32 | Stack= 20
   19905 绂佷功路缁濆鎴樺満 | FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv=  | A1=   | Cnt= 1 Ivl= 1382400 | Stack= 14
   22024 寰掑紵鍜屽笀鐖朵竴璧锋垬鍦虹粨绠楃殑鏍囪buff | FT=  | Decay=  | MS= 4294967295 | Ban=  | Inv= 0 | A1=   | Cnt= 1 Ivl= 57600 | Stack= 1
   22469 鎴樺満鍏ュ満鏃跺凡缁撴潫鏍囪 | FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv= 0 | A1=   | Cnt= 720 Ivl= 960 | Stack= 1
   23353 缇婃潙鎴樺満绂佹鎺掗槦鎯╃綒 | FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv= 0 | A1=   | Cnt= 1 Ivl= 960 | Stack= 1
   23936 涓撴敞路鎴樺満 | FT=  | Decay=  | MS= 4294967295 | Ban=  | Inv= 0 | A1=   | Cnt= 1 Ivl= 16 | Stack= 1
   25164 鎴樺満鍏辨垬鐜╁鐜╁鏁伴噺 | FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv= 0 | A1=   | Cnt= 360 Ivl= 160 | Stack= 5
   25431 绂佷护路缁濆鎴樺満 | FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv=  | A1=   | Cnt= 1 Ivl= 1382400 | Stack= 14
   25668 鎴樺満绉瀬琛屼负绉垎 | FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv= 0 | A1=   | Cnt= 3600 Ivl= 16 | Stack= 1
   25786 鎴樺満寮€鏃楅€氱敤鎵ｇ浘buff | FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv= 0 | A1=   | Cnt= 1 Ivl= 16 | Stack= 1
   25880 鎴樺満寮€鏃楄儗绠辨椂闂磋鏃?| FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv= 0 | A1=   | Cnt= 1 Ivl= 16 | Stack= 1
   26041 鎴樺満鏈哄櫒浜鸿兘鍔涗慨姝?| FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv= 0 | A1= atAllDamageAddPercent -31 | Cnt= 1 Ivl= 960 | Stack= 20
   26077 鎴樺満缁撶畻鏍囪 | FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv= 0 | A1=   | Cnt= 1 Ivl= 960 | Stack= 1
   26193 鎴樺満绔欐棗鑼冨洿鎻愮ずbuff鐗规晥娴╂皵钃?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1=   | Cnt= 60 Ivl= 16 | Stack= 1
   26200 鎴樺満绔欐棗鑼冨洿鎻愮ずbuff鐗规晥鎭朵汉绾?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1=   | Cnt= 60 Ivl= 16 | Stack= 1
   26201 鎴樺満绔欐棗鑼冨洿鎻愮ずbuff鐗规晥涓珛鐧?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1=   | Cnt= 60 Ivl= 16 | Stack= 1
   27456 缁濆鎴樺満浠诲姟buff | FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv= 0 | A1=   | Cnt= 1 Ivl= 960 | Stack= 1
   27852 閫嶉仴鍓戞瓕鎴樺満鍚冮浮pve | FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv= 0 | A1=   | Cnt= 1 Ivl= 960 | Stack= 1
   27914 浣撻獙鎴樺満鏈哄櫒浜哄噺浼?| FT=  | Decay=  | MS= 3758030846 | Ban= 0 | Inv= 0 | A1= atGlobalResistPercent 51 | Cnt= 3600 Ivl= 16 | Stack= 20
   27915 浣撻獙鎴樺満姣忔棩璁℃暟 | FT=  | Decay=  | MS= 4294967294 | Ban= 0 | Inv= 0 | A1=   | Cnt= 1 Ivl= 960 | Stack= 3
   28075 閫嶉仴鍓戞瓕鎴樺満灞曠ずbuff | FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv= 0 | A1=   | Cnt= 1 Ivl= 960 | Stack= 10
   28202 robot鏍囪鎴樺満 | FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv= 0 | A1=   | Cnt= 1 Ivl= 0 | Stack= 1
====================================================================================================
缁濆 count 60
   15323 娌ф簾缁濆鍦板浼ゅ | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1=   | Cnt= 1 Ivl= 16 | Stack= 1
   16586 缁濆鐨勯璧燺灏戞灄 | FT=  | Decay=  | MS= 4294967295 | Ban= 255 | Inv= 0 | A1= atFinalMaxLifeAddPercent 61 | Cnt= 1 Ivl= 57600 | Stack= 1
   19590 绂佽路缁濆鎴樺満 | FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv=  | A1=   | Cnt= 1 Ivl= 1382400 | Stack= 14
   19905 绂佷功路缁濆鎴樺満 | FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv=  | A1=   | Cnt= 1 Ivl= 1382400 | Stack= 14
   21124 澶╁師缁濆_婊戠繑缁存寔 | FT=  | Decay=  | MS= 16 | Ban= 255 | Inv= 0 | A1= atIgnoreGravity  | Cnt= 1 Ivl= 160 | Stack= 1
   21139 澶╁師缁濆_鐏劙琛ㄧ幇 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1=   | Cnt= 1 Ivl= 0 | Stack= 1
   21142 澶╁師缁濆_鐑熼浘琛ㄧ幇 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1=   | Cnt= 1 Ivl= 0 | Stack= 1
   21172 澶╁師缁濆_鐕х煶鐐圭噧 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1=   | Cnt= 10 Ivl= 16 | Stack= 1
   21174 澶╁師缁濆_鐓ф槑寮硅寖鍥存樉绀?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1=   | Cnt= 1 Ivl= 0 | Stack= 1
   21175 澶╁師缁濆_娓╁害灞傛暟 | FT=  | Decay=  | MS= 4294967295 | Ban=  | Inv= 0 | A1=   | Cnt= 1 Ivl= 0 | Stack= 100
   21181 澶╁師缁濆_瀵掑喎 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atHasteBasePercentAdd -300 | Cnt= 1 Ivl= 0 | Stack= 1
   21182 澶╁師缁濆_瀵掑喎闄嶄綆琛€涓婇檺 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atMaxLifePercentAdd -30 | Cnt= 1 Ivl= 0 | Stack= 20
   21188 澶╁師缁濆_姝﹀楗dot | FT= Damage | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1=   | Cnt= 10 Ivl= 32 | Stack= 1
   21193 澶╁師缁濆_鍓戝畻楗啺鍐荤粨 | FT= Halt | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atFreeze  | Cnt= 1 Ivl= 32 | Stack= 1
   21194 澶╁師缁濆_鍓戝畻楗啺鍐呯疆cd | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1=   | Cnt= 1 Ivl= 160 | Stack= 1
   21226 澶╁師缁濆_姗欒儢娆￠檷鏀诲嚮 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atPhysicsAttackPowerPercent -205 | Cnt= 1 Ivl= 80 | Stack= 1
   21409 澶╁師缁濆_鎴樿薄鍐查攱鏍囪 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1=   | Cnt= 10 Ivl= 16 | Stack= 1
   21410 澶╁師缁濆_鎴樿薄楠戜箻 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atDropDefence 512 | Cnt= 999 Ivl= 16 | Stack= 1
   21428 澶╁師缁濆_浜烘暟鏄剧ず | FT=  | Decay=  | MS= 1073774592 | Ban=  | Inv= 0 | A1=   | Cnt= 1 Ivl= 0 | Stack= 110
   21436 澶╁師缁濆_婊戠储cd | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1=   | Cnt= 1 Ivl= 720 | Stack= 1
   21454 澶╁師缁濆_璋烽闄嶆俯 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atMoveSpeedPercent -102 | Cnt= 1 Ivl= 64 | Stack= 1
   21458 澶╁師缁濆_娓╂殩鍖?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1=   | Cnt= 1 Ivl= 0 | Stack= 1
   21589 澶╁師缁濆_鎴樿薄姣忕鎺ㄤ汉 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atDriftFlag  | Cnt= 12 Ivl= 4 | Stack= 1
   25431 绂佷护路缁濆鎴樺満 | FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv=  | A1=   | Cnt= 1 Ivl= 1382400 | Stack= 14
   26073 娲辨捣缁濆鍙娲绘爣璁?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1=   | Cnt= 1 Ivl= 4800 | Stack= 1
