====================================================================================================
鍑忕枟 count 55
   2662 甯細_鎿傚彴_鍑忕枟浼ゆ垚鏁?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1=   | Cnt= 1 Ivl= 2880 | Script= 
   5875 灏戞灄_鍙嶅脊 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atSkillEventHandler 956 | Cnt= 1 Ivl= 16 | Script= 
   5876 灏戞灄_鍙嶅脊鐪╂檿 | FT= Stun | Decay= 0 | MS= 3758030846 | Ban=  | Inv= 0 | A1= atHalt  | Cnt= 1 Ivl= 32 | Script= 
   5877 灏戞灄_鍙嶅脊鐪╂檿璁℃椂鍣?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1=   | Cnt= 1 Ivl= 240 | Script= 
   5878 灏戞灄_鍙嶅脊鐪╂檿璁℃椂鍣? | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1=   | Cnt= 1 Ivl= 320 | Script= 
   6076 棰勭儹鍙嶅脊 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atPhysicsReflection 100000 | Cnt= 1 Ivl= 16 | Script= 
   8090 鑳栧瀛愬弽寮?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atActiveThreatCoefficient 0 | Cnt= 1 Ivl= 16 | Script= 
   8388 鑻嶄簯鍙嶅脊鎶€鑳絙uff | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atMirrorShield  | Cnt= 1 Ivl= 160 | Script= 
   9804 缃楁眽閲戣韩5%鍙嶅脊鍑犵巼瑙ｆ帶 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atLunarMagicReflectionPercent 204 | Cnt= 1 Ivl= 16 | Script= 
   9805 缃楁眽閲戣韩15%鍙嶅脊鍑犵巼瑙ｆ帶 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atLunarMagicReflectionPercent 307 | Cnt= 1 Ivl= 16 | Script= 
   9806 缃楁眽閲戣韩25%鍙嶅脊鍑犵巼瑙ｆ帶 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atLunarMagicReflectionPercent 154 | Cnt= 1 Ivl= 16 | Script= 灏戞灄\閲戣韩缁撴潫.lua
   9807 缃楁眽閲戣韩_30%鍙嶅脊鍔犲己 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atLunarMagicReflectionPercent 307 | Cnt= 1 Ivl= 16 | Script= 
   9808 缃楁眽閲戣韩_45%鍙嶅脊鍔犲己 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atLunarMagicReflectionPercent 461 | Cnt= 1 Ivl= 16 | Script= 
   9809 缃楁眽閲戣韩_60%鍙嶅脊鍔犲己 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atLunarMagicReflectionPercent 230 | Cnt= 1 Ivl= 16 | Script= 灏戞灄\閲戣韩缁撴潫.lua
   10390 绾槼_鍖楀啣鐩惧弽寮?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atNegativeShield 1 | Cnt= 500 Ivl= 16 | Script= 
   14233 4鍙穇娌¤棌鍛兼湀_鍙嶅脊娌夐粯 | FT= Silence | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atSilenceAll  | Cnt= 1 Ivl= 16 | Script= 
   16750 鍘屽_鏂╂棤甯稿弽寮?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atLunarMagicReflectionPercent 10 | Cnt= 1 Ivl= 16 | Script= 
   17273 5鍙穇瀹夊皬閫鏂у崼鍙嶅脊 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atLunarMagicReflectionPercent 512 | Cnt= 1 Ivl= 16 | Script= 
   19301 鍓?绉掗澶栧弽寮?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atLunarMagicReflectionPercent 205 | Cnt= 1 Ivl= 80 | Script= 
   19403 2鍙穇鏈哄叧寮╃浼ゅ鍙嶅脊 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atLunarMagicReflectionPercent 1024 | Cnt= 1 Ivl= 160 | Script= 
====================================================================================================
鐮撮槻 count 60
   552 澶╃瓥-鐮撮-鐮撮槻 | FT= Damage | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atPhysicsShieldBase -7 | Cnt= 1 Ivl= 480 | Script= 
   703 鍓戞硶路鐮撮槻 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atPhysicsShieldPercent -205 | Cnt= 1 Ivl= 240 | Script= 
   1394 鑻遍泟绌洪浘宄癬杈呭姪NPC_澶栧姛鏄撲激NPC_鐮撮槻 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atPhysicsDamageCoefficient 2048 | Cnt= 1 Ivl= 48 | Script= 
   1405 鑻遍泟绌洪浘宄癬杈呭姪NPC_澶栧姛鏄撲激NPC_鐮撮槻(閲婃斁) | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1=   | Cnt= 9600 Ivl= 16 | Script= 
   2806 涓冪_纰庡啺_鍓戞皵闀挎睙鍔犵牬闃?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atSolarOvercomePercent 51 | Cnt= 1 Ivl= 80 | Script= 
   3146 鍗楄瘡閾佺埅渚嶅崼_纰庨鍑籣鐮撮槻 | FT= Damage | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atPhysicsShieldBase -100 | Cnt= 1 Ivl= 160 | Script= 
   4419 鑺傛棩鐗规畩灏忚嵂澶栧姛鐮撮槻 | FT=  | Decay=  | MS= 4294967294 | Ban= 520 | Inv=  | A1= atPhysicsOvercomeBase 265 | Cnt= 1 Ivl= 28800 | Script= 
   4420 鑺傛棩鐗规畩灏忚嵂鍐呭姛鐮撮槻 | FT=  | Decay=  | MS= 4294967294 | Ban= 520 | Inv=  | A1= atMagicOvercome 265 | Cnt= 1 Ivl= 28800 | Script= 
   5037 鍗楄瘡鐮村啗濂梍鎻愰珮鐮撮槻鍊?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atPhysicsOvercomeBase 4 | Cnt= 1 Ivl= 96 | Script= 
   5112 涓€绾垮ぉ_鑻忔竻_鐩捐垶鐮撮槻 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atPhysicsDefenceAdd -102 | Cnt= 10 Ivl= 16 | Script= 
   5146 姘旂函鐗规畩姝﹀櫒_鍔犵牬闃茬敤buff | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1=   | Cnt= 1 Ivl= 1 | Script= 
   6221 浜旀瘨_濂囩┐_铦庡績鐮撮槻 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atPoisonOvercomePercent 153 | Cnt= 1 Ivl= 160 | Script= 
   6343 涓愬府_闃电溂鍔犵牬闃?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atPhysicsOvercomePercent 306 | Cnt= 1 Ivl= 80 | Script= 
   6344 涓愬府_闃电溂鍔犵牬闃睠D | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1=   | Cnt= 1 Ivl= 320 | Script= 
   6376 涓愬府_榫欐垬鍔犵牬闃?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atPhysicsOvercomePercent 102 | Cnt= 1 Ivl= 160 | Script= 
   8403 鑻嶄簯鏀诲嚮闃电牬闃叉晥鏋?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atPhysicsCriticalDamagePowerBaseKiloNumRate 20 | Cnt= 1 Ivl= 480 | Script= 
   8484 鏀诲嚮闃电鍥涢噸鐮撮槻 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atPhysicsOvercomePercent 153 | Cnt= 1 Ivl= 80 | Script= 
   9489 闀挎瓕杈撳嚭闃垫硶鐮撮槻绛夌骇鎻愰珮10% | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atLunarOvercomePercent 102 | Cnt= 1 Ivl= 80 | Script= 
   9596 澶栧姛鐮撮槻 | FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv= 0 | A1= atPhysicsOvercomeBase 74 | Cnt= 1 Ivl= 28800 | Script= 
   9597 鍐呭姛鐮撮槻 | FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv= 0 | A1= atMagicOvercome 74 | Cnt= 1 Ivl= 28800 | Script= 
   9616 澶栧姛鐮撮槻 | FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv= 0 | A1= atPhysicsOvercomeBase 111 | Cnt= 1 Ivl= 28800 | Script= 
   9617 鍐呭姛鐮撮槻 | FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv= 0 | A1= atMagicOvercome 111 | Cnt= 1 Ivl= 28800 | Script= 
   9770 鍓戜富澶╁湴灏忛槦5%鐮撮槻 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atLunarOvercomePercent 102 | Cnt= 1 Ivl= 192 | Script= 
   9920 榫欐洸_鐮撮槻5% | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atPhysicsOvercomePercent 51 | Cnt= 1 Ivl= 480 | Script= 
   9949 鐜勯棬_5%鐮撮槻鍜屼細蹇?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atPhysicsOvercomePercent 204 | Cnt= 1 Ivl= 640 | Script= 
====================================================================================================
鍖栧姴 count 35
   1455 澧炲姞鍖栧姴 | FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv=  | A1= atDecriticalDamagePowerBase 54 | Cnt= 1 Ivl= 28800 | Script= 
   1854 钘忓墤_瑗垮瓙鎯卂姊呴殣棣檁棣欐(甯﹀寲鍔? | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atToughnessBase 16 | Cnt= 1 Ivl= 48 | Script= 
   3431 澧炲姞鍖栧姴50鐐?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atDecriticalDamagePowerBase 50 | Cnt= 1 Ivl= 999999 | Script= 
   3435 鍑忓寲鍔?0鐐?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atDecriticalDamagePowerBase -50 | Cnt= 1 Ivl= 999999 | Script= 
   7505 鏄ョ偣鍑忓寲鍔?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atDecriticalDamagePowerBaseKiloNumRate -1000 | Cnt= 1 Ivl= 80 | Script= 
   11873 杩藉懡绠檷浣庣洰鏍囧寲鍔?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atDecriticalDamagePowerPercent -51 | Cnt= 1 Ivl= 192 | Script= 
   12597 鍏版懅闄嶄綆鐩爣鍖栧姴 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atDecriticalDamagePowerPercent -154 | Cnt= 7 Ivl= 48 | Script= 
   13052 鏅€氬ぇ閬撴棤鏈噺鍖栧姴 | FT= Halt | Decay= 2 | MS= 1405100032 | Ban=  | Inv=  | A1= atFreeze 0 | Cnt= 1 Ivl= 32 | Script= 
   13053 寮哄寲澶ч亾鏃犳湳鍑忓寲鍔?| FT= Halt | Decay= 2 | MS= 1405100032 | Ban=  | Inv=  | A1= atFreeze 0 | Cnt= 1 Ivl= 48 | Script= 
   13924 缈旀瀬纰ц惤闄嶄綆鐩爣鍖栧姴绛夌骇 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atDecriticalDamagePowerPercent -205 | Cnt= 1 Ivl= 80 | Script= 
   13939 杩樼挧鍑忓寲鍔?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atDecriticalDamagePowerPercent -154 | Cnt= 1 Ivl= 80 | Script= 
   17076 鏂╃伀闄嶄綆鐩爣鍖栧姴 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atDecriticalDamagePowerPercent -51 | Cnt= 1 Ivl= 240 | Script= 
   18031 鐧炬绌挎潹鍑忓寲鍔?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atDecriticalDamagePowerPercent -103 | Cnt= 1 Ivl= 192 | Script= 
   22131 涓夋槦涓存棤瑙嗗寲鍔插垽瀹氭爣璁?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atSkillEventHandler 2153 | Cnt= 1 Ivl= 320 | Script= 
   22132 涓夋槦涓存棤瑙嗗寲鍔插疄闄呮晥鏋?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atSetTalentRecipe 2873 | Cnt= 1 Ivl= 192 | Script= 
   23071 [23071]闇稿垁涓冨垁鏃犺鍖栧姴 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atDecriticalDamagePowerPercent -102 | Cnt= 1 Ivl= 4 | Script= 
   24181 瑙︾韬鍑忓皯鐩爣鍖栧姴 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atDecriticalDamagePowerPercent -103 | Cnt= 1 Ivl= 16 | Script= 
   24554 宸插簾寮僟鐏奖杩介棰濆闄嶅寲鍔茬増 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atPhysicsOvercomePercent 51 | Cnt= 1 Ivl= 4 | Script= 鍒€瀹?濂楄矾鍙婂瓙鎶€鑳?鐏奖缁撴潫澶勭悊.lua
   24761 鐏奖杩介鍑忓寲鍔茬瓑绾?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atDecriticalDamagePowerPercent -61 | Cnt= 1 Ivl= 176 | Script= 
   25272 [25272]涓愬府_娓╅厭_鏃犺鍖栧姴 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atDecriticalDamagePowerPercent -359 | Cnt= 1 Ivl= 4 | Script= 
   27064 鏄庢暀_鍑€鎭剁憰璇涙棤瑙嗗寲鍔?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atDecriticalDamagePowerPercent -410 | Cnt= 1 Ivl= 4 | Script= 
   28807 鎻愰珮鍖栧姴 | FT=  | Decay=  | MS= 4294967295 | Ban=  | Inv= 520 | A1= atDecriticalDamagePowerBaseKiloNumRate 10 | Cnt= 1 Ivl= 160 | Script= 
   29195 鏃ョ牬鏃犺鍖栧姴 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atDecriticalDamagePowerPercent -154 | Cnt= 1 Ivl= 4 | Script= 
   30056 杈撳嚭PVP鎶ゆ墜鍑忓寲鍔瞋鍐呯疆CD | FT=  | Decay=  | MS= 3758030846 | Ban= 0 | Inv= 0 | A1=   | Cnt= 1 Ivl= 480 | Script= 
   30057 娌荤枟PVP鎶ゆ墜鍔犲寲鍔瞋鍐呯疆CD | FT=  | Decay=  | MS= 3758030846 | Ban= 0 | Inv= 0 | A1=   | Cnt= 1 Ivl= 480 | Script= 
====================================================================================================
寰″姴 count 24
   1072 寰″姴 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atToughnessBase 162 | Cnt= 1 Ivl= 4800 | Script= 
   1444 T澧炲姞寰″姴 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atToughnessBase 11 | Cnt= 1 Ivl= 960 | Script= 
   1458 澧炲姞寰″姴 | FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv=  | A1= atToughnessBase 50 | Cnt= 1 Ivl= 28800 | Script= 
   1800 钘忓墤_蹇墤40绾у唴鍔焈姊呴殣棣欏鍔犲尽鍔插€?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1=   | Cnt= 1 Ivl= 0 | Script= 
   1880 25浜哄ぉ鐜嬫_寰″姴澹佸瀿 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atSolarMagicResistPercent 204 | Cnt= 1 Ivl= 0 | Script= 
   2198 閾佸_鍔?0%寰″姴 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atToughnessPercent 205 | Cnt= 1 Ivl= 192 | Script= 
   2199 婧冪敳_鍑?0%寰″姴 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atToughnessPercent -205 | Cnt= 1 Ivl= 192 | Script= 
   3430 澧炲姞寰″姴50鐐?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atToughnessBase 50 | Cnt= 1 Ivl= 999999 | Script= 
   3434 鍑忓尽鍔?0鐐?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atToughnessBase -50 | Cnt= 1 Ivl= 999999 | Script= 
   9864 椋?0%浼氬績鎹?0%寰″姴 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atToughnessBaseRate 3000 | Cnt= 1 Ivl= 160 | Script= 
   12989 鎸佸浗澶╃帇娈縚寰″姴澹佸瀿 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atSolarMagicResistPercent 204 | Cnt= 1 Ivl= 0 | Script= 
   14980 寰″姴鎻愰珮 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atToughnessBaseRate 500 | Cnt= 1 Ivl= 128 | Script= 
   20812 [20812]閾侀濂囩┐_鎱戞湇_寰″姴 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atToughnessBaseRate 512 | Cnt= 1 Ivl= 128 | Script= 
   24411 绂荤粡_濡欐墜寰″姴 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atToughnessBaseRate 500 | Cnt= 1 Ivl= 240 | Script= 
   28314 寰″姴缁熶竴 | FT=  | Decay=  | MS= 3758030846 | Ban= 0 | Inv= 0 | A1=   | Cnt= 1 Ivl= 16 | Script= 
   29614 娴烽緳寰″姴_鐩戞帶涓庤鍑籦uff | FT=  | Decay=  | MS= 3758030846 | Ban= 0 | Inv= 0 | A1= atSkillEventHandler 2775 | Cnt= 40 Ivl= 4 | Script= 
   29616 娴烽緳寰″姴_琚嚮璁℃暟 | FT=  | Decay=  | MS= 3758030846 | Ban= 0 | Inv= 0 | A1=   | Cnt= 1 Ivl= 16 | Script= 
   29624 缁濆湴鍙嶅嚮_寰″姴缁熶竴cd | FT=  | Decay=  | MS= 3758030846 | Ban= 0 | Inv= 0 | A1=   | Cnt= 1 Ivl= 16 | Script= 
   29776 娴烽緳寰″姴_鏇挎崲鍐呴儴鎶€鑳?| FT=  | Decay=  | MS= 4294967294 | Ban= 0 | Inv= 0 | A1= atNoLimitChangeSkillIcon 28202 | Cnt= 1 Ivl= 0 | Script= 
   30074 PVP椤归摼鍖栧姴鍔犲尽鍔?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 8 | A1= atToughnessBase 160 | Cnt= 1 Ivl= 0 | Script= 
   30515 JJC鎻掓棗澶х帇-寰″姴 | FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv= 0 | A1= atToughnessBase 100 | Cnt= 1 Ivl= 5760 | Script= 
   30707 PVP闄勯瓟1鑵板甫鎷嶅崠_琚嚮鍔犲尽鍔瞋澶瀬绉樺綍 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 8 | A1= atToughnessBase 10800 | Cnt= 1 Ivl= 48 | Script= 
   30708 PVP闄勯瓟2鑵板甫鎷嶅崠_鍖栧姴杞尽鍔瞋澶瀬绉樺綍 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 8 | A1= atToughnessBase 120 | Cnt= 1 Ivl= 0 | Script= 
   33175 绂荤粡_鏂扮Н鍔縚鐐搁粦寰″姴 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atToughnessBaseRate 1000 | Cnt= 1 Ivl= 16 | Script= 
====================================================================================================
鍚嶅墤 count 14
   6472 鍋胯繕鍚嶅墤甯乢澶╀綉涓崕 | FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv=  | A1=   | Cnt= 8640000 Ivl= 16 | Script= 
   6476 鎵ｉ櫎鍚嶅墤甯侀亾鍏穇澶╀綉涓崕 | FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv=  | A1=   | Cnt= 8640000 Ivl= 16 | Script= 
   7094 鍔犻€焍uff-濞佹湜鍚嶅墤甯? | FT=  | Decay=  | MS= 4294967295 | Ban=  | Inv= 0 | A1= atAddPrestigePercentForAll 51 | Cnt= 1 Ivl= 960 | Script= 
   7096 鍔犻€焍uff-鍚嶅墤甯?0 | FT=  | Decay=  | MS= 4294967295 | Ban=  | Inv= 0 | A1=   | Cnt= 1 Ivl= 960 | Script= 
   11924 JJC鎵ｅ悕鍓戝竵 | FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv= 0 | A1=   | Cnt= 3600 Ivl= 80 | Script= 
   13211 鍚嶅墤澶т細涓炬姤澶嶆煡buff | FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv= 0 | A1=   | Cnt= 1 Ivl= 0 | Script= 
   17488 鍚嶅墤澶т細姣忓懆浜斿満鑳滃埄鏍囪 | FT=  | Decay=  | MS= 4294967295 | Ban=  | Inv= 0 | A1=   | Cnt= 1 Ivl= 57600 | Script= 
   19008 璁告効鏍懧峰悕鍓戝ぇ浼?| FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv= 0 | A1=   | Cnt= 1 Ivl= 960 | Script= 
   19265 绂佷护路鍚嶅墤澶т細  | FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv=  | A1=   | Cnt= 1 Ivl= 9676800 | Script= 
   19585 绂佽路鍚嶅墤澶т細 | FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv=  | A1=   | Cnt= 1 Ivl= 9676800 | Script= 
   19906 绂佷功路鍚嶅墤澶т細 | FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv=  | A1=   | Cnt= 1 Ivl= 9676800 | Script= 
   22939 鍚嶅墤澶т細鑾峰彇濞佹湜涓婇檺璁板綍 | FT=  | Decay=  | MS= 4294967295 | Ban=  | Inv= 0 | A1=   | Cnt= 1 Ivl= 960 | Script= 
   30633 鍚嶅墤澶т細路瀵瑰眬鐏儹 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atGamePlayTherapyFinalCof -71 | Cnt= 1 Ivl= 4800 | Script= 
   33612 鍚嶅墤路淇濋攱甯?| FT=  | Decay=  | MS= 4294967294 | Ban= 0 | Inv= 0 | A1=   | Cnt= 1 Ivl= 16 | Script= 
====================================================================================================
绔炴妧 count 60
   2554 浠诲姟_绔炴妧鍦烘椂闂存帶鍒?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1=   | Cnt= 1 Ivl= 640 | Script= 
   3369 绔炴妧鍦篲鍒犺緟鍔╃被椋熷搧 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1=   | Cnt= 1 Ivl= 16 | Script= 
   3370 绔炴妧鍦篲鍒犲寮虹被椋熷搧 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1=   | Cnt= 1 Ivl= 16 | Script= 
   3371 绔炴妧鍦篲鍒犲甯?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1=   | Cnt= 1 Ivl= 16 | Script= 
   3372 绔炴妧鍦篲鍒犺緟鍔╃被鑽搧 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1=   | Cnt= 1 Ivl= 16 | Script= 
   3373 绔炴妧鍦篲鍒犲寮虹被鑽搧 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1=   | Cnt= 1 Ivl= 16 | Script= 
   3381 绔炴妧鍦篲鎴樻棗A | FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv=  | A1=   | Cnt= 1 Ivl= 57600 | Script= 
   3386 绔炴妧鍦篲鎴樻棗B | FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv=  | A1=   | Cnt= 1 Ivl= 57600 | Script= 
   3387 绔炴妧鍦篲鍒犳捈濡傞浄 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1=   | Cnt= 1 Ivl= 16 | Script= 
   3388 绔炴妧鍦篲鍒犳竻蹇冮潤姘?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1=   | Cnt= 1 Ivl= 16 | Script= 
   3389 绔炴妧鍦篲鍒犵姘?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1=   | Cnt= 1 Ivl= 16 | Script= 
   3390 绔炴妧鍦篲鍒犻洦闇栭搩 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1=   | Cnt= 1 Ivl= 16 | Script= 
   3391 绔炴妧鍦篲鍒犺埇鑻ヨ瘈 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1=   | Cnt= 1 Ivl= 16 | Script= 
   3392 绔炴妧鍦篲鍒犺嵂鐭虫皵鍔?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1=   | Cnt= 1 Ivl= 16 | Script= 
   3393 绔炴妧鍦篲鍒燘UFF鐢↖ | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1=   | Cnt= 1 Ivl= 0 | Script= 
   3394 绔炴妧鍦篲鍒燘UFF鐢↖ | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1=   | Cnt= 1 Ivl= 0 | Script= 
   3395 绔炴妧鍦篲鍒燘UFF鐢↖ | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1=   | Cnt= 1 Ivl= 0 | Script= 
   3396 绔炴妧鍦篲鍒燘UFF鐢↖ | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1=   | Cnt= 1 Ivl= 0 | Script= 
   3397 绔炴妧鍦篲鍒燘UFF鐢↖ | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1=   | Cnt= 1 Ivl= 0 | Script= 
   3398 绔炴妧鍦篲鍒燘UFF鐢↖ | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1=   | Cnt= 1 Ivl= 0 | Script= 
   3449 绔炴妧鍦篲鏍囪鎴橀樁 | FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv=  | A1=   | Cnt= 1 Ivl= 16 | Script= 
   3602 绔炴妧鍦篲娓呭唴鍔熸爣璁?| FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv=  | A1=   | Cnt= 1 Ivl= 28800 | Script= 
   3849 绔炴妧鍦篲鍥炶摑鍥炶眴 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1=   | Cnt= 60 Ivl= 16 | Script= 
   3913 绔炴妧鍦篲鍒犵巹姘?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1=   | Cnt= 1 Ivl= 16 | Script= 
   5015 绔炴妧鍦篲鍙嶉殣褰UFF | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atCounterStealthRange 1920 | Cnt= 1 Ivl= 16 | Script= 
====================================================================================================
鎴樺満 count 60
   1189 绁炲啘娲嘷鎴樺満BOSS_澶ф瘨灏竉鐙傛毚 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atSkillPhysicsDamage 310000 | Cnt= 1 Ivl= 0 | Script= 
